M,N,K,TILE_M,TILE_N,TILE_K,STAGES,dtype,time_ms,TFLOPS
64,32,131072,64,32,16,5,BF16,0.826053,0.649923
64,32,131072,64,32,16,6,BF16,0.761538,0.704983
64,32,131072,64,32,16,7,BF16,0.767424,0.699575
64,32,131072,64,32,16,8,BF16,0.773419,0.694153
64,32,131072,64,32,32,0,BF16,0.385528,1.39256
64,32,131072,64,32,32,2,BF16,1.06795,0.502712
64,32,131072,64,32,32,3,BF16,0.715952,0.74987
64,32,131072,64,32,32,4,BF16,0.538779,0.996458
64,32,131072,64,32,32,5,BF16,0.434542,1.23549
64,32,131072,64,32,32,6,BF16,0.3846,1.39592
64,32,131072,64,32,32,7,BF16,0.387616,1.38506
64,32,131072,64,32,32,8,BF16,0.390626,1.37439
64,32,131072,64,32,64,0,BF16,0.197394,2.7198
64,32,131072,64,32,64,2,BF16,0.591074,0.908298
64,32,131072,64,32,64,3,BF16,0.396723,1.35326
64,32,131072,64,32,64,4,BF16,0.298776,1.7969
64,32,131072,64,32,64,5,BF16,0.242059,2.21793
64,32,131072,64,32,64,6,BF16,0.203357,2.64004
64,32,131072,64,32,64,7,BF16,0.197341,2.72053
64,32,131072,64,32,64,8,BF16,0.199163,2.69563
64,32,131072,64,32,128,0,BF16,0.187422,2.8645
64,32,131072,64,32,128,2,BF16,0.377299,1.42293
64,32,131072,64,32,128,3,BF16,0.255378,2.10226
64,32,131072,64,32,128,4,BF16,0.193715,2.77144
64,32,131072,64,32,128,5,BF16,0.187546,2.86262
64,32,131072,64,32,128,6,BF16,0.187464,2.86386
64,32,131072,64,32,128,7,BF16,0.187883,2.85747
64,32,131072,64,32,128,8,BF16,0.187459,2.86393
64,32,131072,64,32,256,0,BF16,0.183794,2.92105
64,32,131072,64,32,256,2,BF16,0.28588,1.87796
64,32,131072,64,32,256,3,BF16,0.192979,2.78201
64,32,131072,64,32,256,4,BF16,0.183787,2.92116
# BUILD_FAILED: 64,32,256,5,0
# BUILD_FAILED: 64,32,256,6,0
# BUILD_FAILED: 64,32,256,7,0
# BUILD_FAILED: 64,32,256,8,0
64,64,131072,64,64,16,0,BF16,0.812475,1.32157
64,64,131072,64,64,16,2,BF16,2.16165,0.496723
64,64,131072,64,64,16,3,BF16,1.44055,0.745371
64,64,131072,64,64,16,4,BF16,1.08559,0.989086
64,64,131072,64,64,16,5,BF16,0.870642,1.23328
64,64,131072,64,64,16,6,BF16,0.811693,1.32284
64,64,131072,64,64,16,7,BF16,0.811507,1.32315
64,64,131072,64,64,16,8,BF16,0.811621,1.32296
64,64,131072,64,64,32,0,BF16,0.410062,2.61848
64,64,131072,64,64,32,2,BF16,1.14699,0.93614
64,64,131072,64,64,32,3,BF16,0.76633,1.40115
64,64,131072,64,64,32,4,BF16,0.578024,1.85761
64,64,131072,64,64,32,5,BF16,0.463803,2.31508
64,64,131072,64,64,32,6,BF16,0.41008,2.61837
64,64,131072,64,64,32,7,BF16,0.410045,2.6186
64,64,131072,64,64,32,8,BF16,0.410107,2.6182
64,64,131072,64,64,64,0,BF16,0.214264,5.0113
64,64,131072,64,64,64,2,BF16,0.653648,1.64269
64,64,131072,64,64,64,3,BF16,0.434549,2.47093
64,64,131072,64,64,64,4,BF16,0.329754,3.25619
64,64,131072,64,64,64,5,BF16,0.265542,4.04358
64,64,131072,64,64,64,6,BF16,0.224411,4.78471
64,64,131072,64,64,64,7,BF16,0.213517,5.02884
64,64,131072,64,64,64,8,BF16,0.213307,5.03378
64,64,131072,64,64,128,0,BF16,0.214494,5.00592
64,64,131072,64,64,128,2,BF16,0.441875,2.42997
64,64,131072,64,64,128,3,BF16,0.295184,3.63753
64,64,131072,64,64,128,4,BF16,0.225018,4.77181
64,64,131072,64,64,128,5,BF16,0.21453,5.0051
64,64,131072,64,64,128,6,BF16,0.213931,5.0191
64,64,131072,64,64,128,7,BF16,0.21448,5.00626
# BUILD_FAILED: 64,64,128,8,0
64,64,131072,64,64,256,0,BF16,0.228861,4.69168
64,64,131072,64,64,256,2,BF16,0.338154,3.17531
64,64,131072,64,64,256,3,BF16,0.228766,4.69362
# BUILD_FAILED: 64,64,256,4,0
# BUILD_FAILED: 64,64,256,5,0
# BUILD_FAILED: 64,64,256,6,0
# BUILD_FAILED: 64,64,256,7,0
# BUILD_FAILED: 64,64,256,8,0
64,128,131072,64,128,16,0,BF16,1.21422,1.76861
64,128,131072,64,128,16,2,BF16,2.48892,0.862819
64,128,131072,64,128,16,3,BF16,1.6632,1.29117
64,128,131072,64,128,16,4,BF16,1.24872,1.71975
64,128,131072,64,128,16,5,BF16,1.21396,1.76899
64,128,131072,64,128,16,6,BF16,1.21415,1.76872
64,128,131072,64,128,16,7,BF16,1.21395,1.76901
64,128,131072,64,128,16,8,BF16,1.21405,1.76886
64,128,131072,64,128,32,0,BF16,0.611757,3.51036
64,128,131072,64,128,32,2,BF16,1.35723,1.58226
64,128,131072,64,128,32,3,BF16,0.908515,2.36373
64,128,131072,64,128,32,4,BF16,0.683349,3.14259
64,128,131072,64,128,32,5,BF16,0.611835,3.50991
64,128,131072,64,128,32,6,BF16,0.61185,3.50982
64,128,131072,64,128,32,7,BF16,0.61188,3.50965
64,128,131072,64,128,32,8,BF16,0.611822,3.50998
64,128,131072,64,128,64,0,BF16,0.410974,5.22535
64,128,131072,64,128,64,2,BF16,0.79535,2.70005
64,128,131072,64,128,64,3,BF16,0.533936,4.02199
64,128,131072,64,128,64,4,BF16,0.41105,5.22439
64,128,131072,64,128,64,5,BF16,0.411032,5.22461
64,128,131072,64,128,64,6,BF16,0.411082,5.22398
64,128,131072,64,128,64,7,BF16,0.411179,5.22274
64,128,131072,64,128,64,8,BF16,0.411202,5.22246
64,128,131072,64,128,128,0,BF16,0.411064,5.22421
64,128,131072,64,128,128,2,BF16,0.584301,3.6753
64,128,131072,64,128,128,3,BF16,0.411032,5.22461
64,128,131072,64,128,128,4,BF16,0.411174,5.22281
# BUILD_FAILED: 64,128,128,5,0
# BUILD_FAILED: 64,128,128,6,0
# BUILD_FAILED: 64,128,128,7,0
# BUILD_FAILED: 64,128,128,8,0
64,128,131072,64,128,256,0,BF16,0.490352,4.37947
64,128,131072,64,128,256,2,BF16,0.49019,4.38092
# BUILD_FAILED: 64,128,256,3,0
# BUILD_FAILED: 64,128,256,4,0
# BUILD_FAILED: 64,128,256,5,0
# BUILD_FAILED: 64,128,256,6,0
# BUILD_FAILED: 64,128,256,7,0
# BUILD_FAILED: 64,128,256,8,0
64,192,131072,64,192,16,0,BF16,1.61748,1.99151
64,192,131072,64,192,16,2,BF16,3.37303,0.954993
64,192,131072,64,192,16,3,BF16,2.39876,1.34287
64,192,131072,64,192,16,4,BF16,2.01284,1.60034
64,192,131072,64,192,16,5,BF16,1.64795,1.95468
64,192,131072,64,192,16,6,BF16,1.61738,1.99163
64,192,131072,64,192,16,7,BF16,1.61729,1.99174
64,192,131072,64,192,16,8,BF16,1.61753,1.99144
64,192,131072,64,192,32,0,BF16,0.814294,3.95585
64,192,131072,64,192,32,2,BF16,2.1698,1.48457
64,192,131072,64,192,32,3,BF16,1.29443,2.48854
64,192,131072,64,192,32,4,BF16,1.09559,2.94017
64,192,131072,64,192,32,5,BF16,0.878893,3.66509
64,192,131072,64,192,32,6,BF16,0.814619,3.95427
64,192,131072,64,192,32,7,BF16,0.814326,3.95569
64,192,131072,64,192,32,8,BF16,0.814302,3.95581
64,192,131072,64,192,64,0,BF16,0.612947,5.25531
64,192,131072,64,192,64,2,BF16,1.24953,2.57796
64,192,131072,64,192,64,3,BF16,0.842402,3.82386
64,192,131072,64,192,64,4,BF16,0.649307,4.96102
64,192,131072,64,192,64,5,BF16,0.612851,5.25613
64,192,131072,64,192,64,6,BF16,0.61279,5.25665
64,192,131072,64,192,64,7,BF16,0.612837,5.25625
# BUILD_FAILED: 64,192,64,8,0
64,192,131072,64,192,128,0,BF16,0.61804,5.212
64,192,131072,64,192,128,2,BF16,0.887608,3.62911
64,192,131072,64,192,128,3,BF16,0.617875,5.21339
# BUILD_FAILED: 64,192,128,4,0
# BUILD_FAILED: 64,192,128,5,0
# BUILD_FAILED: 64,192,128,6,0
# BUILD_FAILED: 64,192,128,7,0
# BUILD_FAILED: 64,192,128,8,0
# BUILD_FAILED: 64,192,256,0,0
# BUILD_FAILED: 64,192,256,2,0
# BUILD_FAILED: 64,192,256,3,0
# BUILD_FAILED: 64,192,256,4,0
# BUILD_FAILED: 64,192,256,5,0
# BUILD_FAILED: 64,192,256,6,0
# BUILD_FAILED: 64,192,256,7,0
# BUILD_FAILED: 64,192,256,8,0
64,256,131072,64,256,16,0,BF16,2.14596,2.00142
64,256,131072,64,256,16,2,BF16,3.84515,1.11698
64,256,131072,64,256,16,3,BF16,2.82222,1.52184
64,256,131072,64,256,16,4,BF16,2.26246,1.89836
64,256,131072,64,256,16,5,BF16,2.14579,2.00158
64,256,131072,64,256,16,6,BF16,2.14584,2.00154
64,256,131072,64,256,16,7,BF16,2.14581,2.00156
64,256,131072,64,256,16,8,BF16,2.14573,2.00163
64,256,131072,64,256,32,0,BF16,1.0792,3.97978
64,256,131072,64,256,32,2,BF16,2.48031,1.73163
64,256,131072,64,256,32,3,BF16,1.51756,2.83018
64,256,131072,64,256,32,4,BF16,1.25585,3.41996
64,256,131072,64,256,32,5,BF16,1.08001,3.97677
64,256,131072,64,256,32,6,BF16,1.07915,3.97997
64,256,131072,64,256,32,7,BF16,1.07926,3.97953
64,256,131072,64,256,32,8,BF16,1.07926,3.97956
64,256,131072,64,256,64,0,BF16,0.815674,5.26555
64,256,131072,64,256,64,2,BF16,1.4542,2.95349
64,256,131072,64,256,64,3,BF16,0.989355,4.34118
64,256,131072,64,256,64,4,BF16,0.816654,5.25922
64,256,131072,64,256,64,5,BF16,0.815778,5.26488
# BUILD_FAILED: 64,256,64,6,0
# BUILD_FAILED: 64,256,64,7,0
# BUILD_FAILED: 64,256,64,8,0
64,256,131072,64,256,128,0,BF16,1.08165,3.97074
64,256,131072,64,256,128,2,BF16,1.08244,3.96785
# BUILD_FAILED: 64,256,128,3,0
# BUILD_FAILED: 64,256,128,4,0
# BUILD_FAILED: 64,256,128,5,0
# BUILD_FAILED: 64,256,128,6,0
# BUILD_FAILED: 64,256,128,7,0
# BUILD_FAILED: 64,256,128,8,0
# BUILD_FAILED: 64,256,256,0,0
# BUILD_FAILED: 64,256,256,2,0
# BUILD_FAILED: 64,256,256,3,0
# BUILD_FAILED: 64,256,256,4,0
# BUILD_FAILED: 64,256,256,5,0
# BUILD_FAILED: 64,256,256,6,0
# BUILD_FAILED: 64,256,256,7,0
# BUILD_FAILED: 64,256,256,8,0
128,16,131072,128,16,16,0,BF16,0.912923,0.588079
128,16,131072,128,16,16,2,BF16,2.18919,0.245238
128,16,131072,128,16,16,3,BF16,1.46471,0.366537
128,16,131072,128,16,16,4,BF16,1.09852,0.488721
128,16,131072,128,16,16,5,BF16,0.91184,0.588778
128,16,131072,128,16,16,6,BF16,0.911581,0.588945
128,16,131072,128,16,16,7,BF16,0.911528,0.588979
128,16,131072,128,16,16,8,BF16,0.911714,0.588859
128,16,131072,128,16,32,0,BF16,0.459301,1.16889
128,16,131072,128,16,32,2,BF16,1.16962,0.459013
128,16,131072,128,16,32,3,BF16,0.783269,0.685424
128,16,131072,128,16,32,4,BF16,0.588902,0.911647
128,16,131072,128,16,32,5,BF16,0.474038,1.13255
128,16,131072,128,16,32,6,BF16,0.459302,1.16888
128,16,131072,128,16,32,7,BF16,0.459176,1.16921
128,16,131072,128,16,32,8,BF16,0.459397,1.16864
128,16,131072,128,16,64,0,BF16,0.252446,2.12667
128,16,131072,128,16,64,2,BF16,0.668954,0.802553
128,16,131072,128,16,64,3,BF16,0.447954,1.1985
128,16,131072,128,16,64,4,BF16,0.338344,1.58676
128,16,131072,128,16,64,5,BF16,0.27389,1.96017
128,16,131072,128,16,64,6,BF16,0.252437,2.12675
128,16,131072,128,16,64,7,BF16,0.252475,2.12643
128,16,131072,128,16,64,8,BF16,0.252331,2.12764
128,16,131072,128,16,128,0,BF16,0.257325,2.08636
128,16,131072,128,16,128,2,BF16,0.462942,1.15969
128,16,131072,128,16,128,3,BF16,0.310019,1.73173
128,16,131072,128,16,128,4,BF16,0.257547,2.08455
128,16,131072,128,16,128,5,BF16,0.257413,2.08564
128,16,131072,128,16,128,6,BF16,0.257491,2.08501
# BUILD_FAILED: 128,16,128,7,0
# BUILD_FAILED: 128,16,128,8,0
128,16,131072,128,16,256,0,BF16,0.266758,2.01257
128,16,131072,128,16,256,2,BF16,0.36897,1.45505
128,16,131072,128,16,256,3,BF16,0.266701,2.01301
# BUILD_FAILED: 128,16,256,4,0
# BUILD_FAILED: 128,16,256,5,0
# BUILD_FAILED: 128,16,256,6,0
# BUILD_FAILED: 128,16,256,7,0
# BUILD_FAILED: 128,16,256,8,0
128,32,131072,128,32,16,0,BF16,1.0127,1.06027
128,32,131072,128,32,16,2,BF16,2.26083,0.474933
128,32,131072,128,32,16,3,BF16,1.5105,0.710854
128,32,131072,128,32,16,4,BF16,1.13454,0.946412
128,32,131072,128,32,16,5,BF16,1.01266,1.06032
128,32,131072,128,32,16,6,BF16,1.01223,1.06077
128,32,131072,128,32,16,7,BF16,1.01227,1.06072
128,32,131072,128,32,16,8,BF16,1.01219,1.06081
128,32,131072,128,32,32,0,BF16,0.510405,2.10371
128,32,131072,128,32,32,2,BF16,1.20794,0.8889
128,32,131072,128,32,32,3,BF16,0.809658,1.32617
128,32,131072,128,32,32,4,BF16,0.608112,1.7657
128,32,131072,128,32,32,5,BF16,0.510962,2.10141
128,32,131072,128,32,32,6,BF16,0.510389,2.10377
128,32,131072,128,32,32,7,BF16,0.510403,2.10371
128,32,131072,128,32,32,8,BF16,0.510392,2.10376
128,32,131072,128,32,64,0,BF16,0.265709,4.04105
128,32,131072,128,32,64,2,BF16,0.698086,1.53812
128,32,131072,128,32,64,3,BF16,0.465338,2.30745
128,32,131072,128,32,64,4,BF16,0.352677,3.04455
128,32,131072,128,32,64,5,BF16,0.28515,3.76553
128,32,131072,128,32,64,6,BF16,0.264686,4.05666
128,32,131072,128,32,64,7,BF16,0.264643,4.05732
128,32,131072,128,32,64,8,BF16,0.265218,4.04853
128,32,131072,128,32,128,0,BF16,0.26495,4.05261
128,32,131072,128,32,128,2,BF16,0.489635,2.19294
128,32,131072,128,32,128,3,BF16,0.327334,3.28026
128,32,131072,128,32,128,4,BF16,0.264766,4.05543
128,32,131072,128,32,128,5,BF16,0.264725,4.05607
# BUILD_FAILED: 128,32,128,6,0
# BUILD_FAILED: 128,32,128,7,0
# BUILD_FAILED: 128,32,128,8,0
128,32,131072,128,32,256,0,BF16,0.38953,2.75651
128,32,131072,128,32,256,2,BF16,0.389544,2.75641
# BUILD_FAILED: 128,32,256,3,0
# BUILD_FAILED: 128,32,256,4,0
# BUILD_FAILED: 128,32,256,5,0
# BUILD_FAILED: 128,32,256,6,0
# BUILD_FAILED: 128,32,256,7,0
# BUILD_FAILED: 128,32,256,8,0
128,64,131072,128,64,16,0,BF16,1.21406,1.76884
128,64,131072,128,64,16,2,BF16,2.43923,0.880396
128,64,131072,128,64,16,3,BF16,1.6263,1.32047
128,64,131072,128,64,16,4,BF16,1.22591,1.75175
128,64,131072,128,64,16,5,BF16,1.21397,1.76897
128,64,131072,128,64,16,6,BF16,1.21408,1.76882
128,64,131072,128,64,16,7,BF16,1.21409,1.76879
128,64,131072,128,64,16,8,BF16,1.21413,1.76874
128,64,131072,128,64,32,0,BF16,0.611901,3.50953
128,64,131072,128,64,32,2,BF16,1.30688,1.64321
128,64,131072,128,64,32,3,BF16,0.87437,2.45604
128,64,131072,128,64,32,4,BF16,0.660171,3.25292
128,64,131072,128,64,32,5,BF16,0.611546,3.51157
128,64,131072,128,64,32,6,BF16,0.611806,3.51007
128,64,131072,128,64,32,7,BF16,0.611661,3.51091
128,64,131072,128,64,32,8,BF16,0.611842,3.50987
128,64,131072,128,64,64,0,BF16,0.317752,6.75836
128,64,131072,128,64,64,2,BF16,0.762002,2.81821
128,64,131072,128,64,64,3,BF16,0.508054,4.22688
128,64,131072,128,64,64,4,BF16,0.385499,5.57066
128,64,131072,128,64,64,5,BF16,0.31783,6.7567
128,64,131072,128,64,64,6,BF16,0.317069,6.77293
128,64,131072,128,64,64,7,BF16,0.31732,6.76756
128,64,131072,128,64,64,8,BF16,0.318218,6.74848
128,64,131072,128,64,128,0,BF16,0.31729,6.76821
128,64,131072,128,64,128,2,BF16,0.546485,3.92963
128,64,131072,128,64,128,3,BF16,0.36453,5.89111
128,64,131072,128,64,128,4,BF16,0.317283,6.76835
# BUILD_FAILED: 128,64,128,5,0
# BUILD_FAILED: 128,64,128,6,0
# BUILD_FAILED: 128,64,128,7,0
# BUILD_FAILED: 128,64,128,8,0
128,64,131072,128,64,256,0,BF16,0.446974,4.80449
128,64,131072,128,64,256,2,BF16,0.447142,4.80268
# BUILD_FAILED: 128,64,256,3,0
# BUILD_FAILED: 128,64,256,4,0
# BUILD_FAILED: 128,64,256,5,0
# BUILD_FAILED: 128,64,256,6,0
# BUILD_FAILED: 128,64,256,7,0
# BUILD_FAILED: 128,64,256,8,0
128,128,131072,128,128,16,0,BF16,1.61805,2.65441
128,128,131072,128,128,16,2,BF16,3.33303,1.28861
128,128,131072,128,128,16,3,BF16,2.3799,1.80468
128,128,131072,128,128,16,4,BF16,1.98754,2.16095
128,128,131072,128,128,16,5,BF16,1.64252,2.61486
128,128,131072,128,128,16,6,BF16,1.61852,2.65363
128,128,131072,128,128,16,7,BF16,1.61786,2.65472
128,128,131072,128,128,16,8,BF16,1.61761,2.65513
128,128,131072,128,128,32,0,BF16,0.81489,5.27061
128,128,131072,128,128,32,2,BF16,2.12756,2.01873
128,128,131072,128,128,32,3,BF16,1.26282,3.40109
128,128,131072,128,128,32,4,BF16,1.0738,3.99977
128,128,131072,128,128,32,5,BF16,0.86404,4.9708
128,128,131072,128,128,32,6,BF16,0.815258,5.26823
128,128,131072,128,128,32,7,BF16,0.81444,5.27352
128,128,131072,128,128,32,8,BF16,0.814608,5.27243
128,128,131072,128,128,64,0,BF16,0.422674,10.1614
128,128,131072,128,128,64,2,BF16,1.16424,3.68907
128,128,131072,128,128,64,3,BF16,0.786064,5.46389
128,128,131072,128,128,64,4,BF16,0.59989,7.1596
128,128,131072,128,128,64,5,BF16,0.491544,8.73771
128,128,131072,128,128,64,6,BF16,0.429171,10.0076
128,128,131072,128,128,64,7,BF16,0.42248,10.1661
# BUILD_FAILED: 128,128,64,8,0
128,128,131072,128,128,128,0,BF16,0.54364,7.90039
128,128,131072,128,128,128,2,BF16,0.800806,5.3633
128,128,131072,128,128,128,3,BF16,0.542939,7.91059
# BUILD_FAILED: 128,128,128,4,0
# BUILD_FAILED: 128,128,128,5,0
# BUILD_FAILED: 128,128,128,6,0
# BUILD_FAILED: 128,128,128,7,0
# BUILD_FAILED: 128,128,128,8,0
# BUILD_FAILED: 128,128,256,0,0
# BUILD_FAILED: 128,128,256,2,0
# BUILD_FAILED: 128,128,256,3,0
# BUILD_FAILED: 128,128,256,4,0
# BUILD_FAILED: 128,128,256,5,0
# BUILD_FAILED: 128,128,256,6,0
# BUILD_FAILED: 128,128,256,7,0
# BUILD_FAILED: 128,128,256,8,0
128,192,131072,128,192,16,0,BF16,2.14729,3.00028
128,192,131072,128,192,16,2,BF16,3.78866,1.70046
128,192,131072,128,192,16,3,BF16,2.78403,2.31407
128,192,131072,128,192,16,4,BF16,2.23484,2.88274
128,192,131072,128,192,16,5,BF16,2.14774,2.99965
128,192,131072,128,192,16,6,BF16,2.1473,3.00026
128,192,131072,128,192,16,7,BF16,2.14721,3.00038
128,192,131072,128,192,16,8,BF16,2.14717,3.00043
128,192,131072,128,192,32,0,BF16,1.08021,5.96405
128,192,131072,128,192,32,2,BF16,2.4043,2.67955
128,192,131072,128,192,32,3,BF16,1.46736,4.3905
128,192,131072,128,192,32,4,BF16,1.22239,5.27037
128,192,131072,128,192,32,5,BF16,1.08085,5.96053
128,192,131072,128,192,32,6,BF16,1.0802,5.96413
128,192,131072,128,192,32,7,BF16,1.08022,5.96403
128,192,131072,128,192,32,8,BF16,1.08028,5.96368
128,192,131072,128,192,64,0,BF16,0.616914,10.443
128,192,131072,128,192,64,2,BF16,1.37461,4.68675
128,192,131072,128,192,64,3,BF16,0.925005,6.96478
128,192,131072,128,192,64,4,BF16,0.707154,9.1104
128,192,131072,128,192,64,5,BF16,0.616893,10.4434
# BUILD_FAILED: 128,192,64,6,0
# BUILD_FAILED: 128,192,64,7,0
# BUILD_FAILED: 128,192,64,8,0
128,192,131072,128,192,128,0,BF16,0.977235,6.59253
128,192,131072,128,192,128,2,BF16,0.977222,6.59261
# BUILD_FAILED: 128,192,128,3,0
# BUILD_FAILED: 128,192,128,4,0
# BUILD_FAILED: 128,192,128,5,0
# BUILD_FAILED: 128,192,128,6,0
# BUILD_FAILED: 128,192,128,7,0
# BUILD_FAILED: 128,192,128,8,0
# BUILD_FAILED: 128,192,256,0,0
# BUILD_FAILED: 128,192,256,2,0
# BUILD_FAILED: 128,192,256,3,0
# BUILD_FAILED: 128,192,256,4,0
# BUILD_FAILED: 128,192,256,5,0
# BUILD_FAILED: 128,192,256,6,0
# BUILD_FAILED: 128,192,256,7,0
# BUILD_FAILED: 128,192,256,8,0
128,256,131072,128,256,16,0,BF16,2.57585,3.33479
128,256,131072,128,256,16,2,BF16,4.14323,2.07325
128,256,131072,128,256,16,3,BF16,3.06466,2.8029
128,256,131072,128,256,16,4,BF16,2.57753,3.33263
128,256,131072,128,256,16,5,BF16,2.57584,3.33481
128,256,131072,128,256,16,6,BF16,2.57584,3.33481
128,256,131072,128,256,16,7,BF16,2.57578,3.33489
128,256,131072,128,256,16,8,BF16,2.57581,3.33485
128,256,131072,128,256,32,0,BF16,1.29539,6.63116
128,256,131072,128,256,32,2,BF16,2.63639,3.25821
128,256,131072,128,256,32,3,BF16,1.65119,5.20227
128,256,131072,128,256,32,4,BF16,1.34954,6.36509
128,256,131072,128,256,32,5,BF16,1.29543,6.63097
128,256,131072,128,256,32,6,BF16,1.29552,6.63047
128,256,131072,128,256,32,7,BF16,1.29556,6.63029
128,256,131072,128,256,32,8,BF16,1.29535,6.63135
128,256,131072,128,256,64,0,BF16,0.821312,10.4588
128,256,131072,128,256,64,2,BF16,1.53739,5.58735
128,256,131072,128,256,64,3,BF16,1.03829,8.27318
128,256,131072,128,256,64,4,BF16,0.821251,10.4596
# BUILD_FAILED: 128,256,64,5,0
# BUILD_FAILED: 128,256,64,6,0
# BUILD_FAILED: 128,256,64,7,0
# BUILD_FAILED: 128,256,64,8,0
128,256,131072,128,256,128,0,BF16,1.13084,7.59608
128,256,131072,128,256,128,2,BF16,1.13084,7.59603
# BUILD_FAILED: 128,256,128,3,0
# BUILD_FAILED: 128,256,128,4,0
# BUILD_FAILED: 128,256,128,5,0
# BUILD_FAILED: 128,256,128,6,0
# BUILD_FAILED: 128,256,128,7,0
# BUILD_FAILED: 128,256,128,8,0
# BUILD_FAILED: 128,256,256,0,0
# BUILD_FAILED: 128,256,256,2,0
# BUILD_FAILED: 128,256,256,3,0
# BUILD_FAILED: 128,256,256,4,0
# BUILD_FAILED: 128,256,256,5,0
# BUILD_FAILED: 128,256,256,6,0
# BUILD_FAILED: 128,256,256,7,0
# BUILD_FAILED: 128,256,256,8,0
64,16,131072,64,16,32,0,FP8_E4M3,0.370126,0.725253
64,16,131072,64,16,32,2,FP8_E4M3,0.971922,0.27619
64,16,131072,64,16,32,3,FP8_E4M3,0.651581,0.411976
64,16,131072,64,16,32,4,FP8_E4M3,0.490522,0.547245
64,16,131072,64,16,32,5,FP8_E4M3,0.396874,0.676375
64,16,131072,64,16,32,6,FP8_E4M3,0.36201,0.741515
64,16,131072,64,16,32,7,FP8_E4M3,0.36493,0.735581
64,16,131072,64,16,32,8,FP8_E4M3,0.368232,0.728985
64,16,131072,64,16,64,0,FP8_E4M3,0.18649,1.43941
64,16,131072,64,16,64,2,FP8_E4M3,0.511875,0.524416
64,16,131072,64,16,64,3,FP8_E4M3,0.344443,0.779332
64,16,131072,64,16,64,4,FP8_E4M3,0.260739,1.02952
64,16,131072,64,16,64,5,FP8_E4M3,0.21073,1.27384
64,16,131072,64,16,64,6,FP8_E4M3,0.184782,1.45271
64,16,131072,64,16,64,7,FP8_E4M3,0.186035,1.44293
64,16,131072,64,16,64,8,FP8_E4M3,0.187986,1.42796
64,16,131072,64,16,128,0,FP8_E4M3,0.102747,2.61258
64,16,131072,64,16,128,2,FP8_E4M3,0.283352,0.947357
64,16,131072,64,16,128,3,FP8_E4M3,0.191944,1.39851
64,16,131072,64,16,128,4,FP8_E4M3,0.145872,1.84021
64,16,131072,64,16,128,5,FP8_E4M3,0.119272,2.25062
64,16,131072,64,16,128,6,FP8_E4M3,0.102096,2.62925
64,16,131072,64,16,128,7,FP8_E4M3,0.102821,2.61071
64,16,131072,64,16,128,8,FP8_E4M3,0.101808,2.63668
64,16,131072,64,16,256,0,FP8_E4M3,0.0951584,2.82093
64,16,131072,64,16,256,2,FP8_E4M3,0.183064,1.46635
