CTAsPerSM,NumStages,ThreadsPerBlock,LoadType,LoadBytes,DRAMBandwidthBps,SMCyclesAvg,LDGSTSTotal,LDGSTSWarpPerCycle
1,16,128,float4,16,3710337477797.51,70563.77,261073.0,3.7
2,1,64,float,4,174860151721.7,24151506.28,16776097.0,0.69
2,1,64,float2,8,349442676814.94,12084826.26,8387457.0,0.69
2,1,64,float4,16,684987258024.99,6153757.74,4193140.0,0.68
2,1,128,float,4,352170166382.81,11989778.49,16774913.0,1.4
2,1,128,float2,8,700741300806.22,6016444.28,8386276.0,1.39
2,1,128,float4,16,1356096997130.5,3109128.76,4192545.0,1.35
2,1,256,float,4,708072687387.28,5957235.55,16772548.0,2.82
2,1,256,float2,8,1387019738337.85,3039404.72,8385089.0,2.76
2,1,256,float4,16,2623311040713.36,1605778.19,4191361.0,2.61
2,2,64,float,4,337945813105.57,6238587.18,8387457.0,1.34
2,2,64,float2,8,660842047200.66,3189488.51,4193140.0,1.31
2,2,64,float4,16,1287646020416.0,1637214.09,2096273.0,1.28
2,2,128,float,4,665039323282.95,3171913.05,8386276.0,2.64
2,2,128,float2,8,1319595689451.74,1596897.76,4192545.0,2.63
2,2,128,float4,16,2492703678929.77,844949.46,2095681.0,2.48
2,2,256,float,4,1322596231175.59,1592437.54,8385089.0,5.27
2,2,256,float2,8,2546988530193.7,825608.93,4191361.0,5.08
2,2,256,float4,16,4550728433636.73,461512.73,2093313.0,4.54
2,4,64,float,4,628145895745.96,1677494.47,4193140.0,2.5
2,4,64,float2,8,1245987376550.09,845743.77,2096273.0,2.48
2,4,64,float4,16,2331540108438.76,451563.77,1047841.0,2.32
2,4,128,float,4,1245062254210.88,845661.61,4192545.0,4.96
2,4,128,float2,8,2372095076400.68,443264.82,2095681.0,4.73
2,4,128,float4,16,4204794376098.42,249714.49,1046657.0,4.19
2,4,256,float,4,2360201548205.49,444783.23,4191361.0,9.42
2,4,256,float2,8,4309237972729.61,242772.19,2093313.0,8.62
2,4,256,float4,16,6216473214285.71,168179.69,1044289.0,6.21
3,1,64,float,4,263250460448.46,16033744.93,16776097.0,1.05
3,1,64,float2,8,523699701385.48,8058433.85,8387161.0,1.04
3,1,64,float4,16,1017816648464.99,4142327.11,4193137.0,1.01
3,1,128,float,4,528797358529.22,7973031.99,16774321.0,2.1
3,1,128,float2,8,1043109667997.58,4043940.42,8386273.0,2.07
3,1,128,float4,16,1999004082119.13,2108495.01,4191361.0,1.99
3,1,256,float,4,1049347576520.64,4017105.14,16772545.0,4.18
3,1,256,float2,8,2036629111117.86,2067100.95,8382721.0,4.06
3,1,256,float4,16,3782587119715.53,1111704.24,4187812.0,3.77
3,2,64,float,4,507482182257.82,4158227.03,8387161.0,2.02
3,2,64,float2,8,990471713712.06,2127978.55,4193137.0,1.97
3,2,64,float4,16,1904489295246.75,1106318.11,2095681.0,1.89
3,2,128,float,4,995666152202.3,2116224.81,8386273.0,3.96
3,2,128,float2,8,1937855755894.59,1086179.76,4191361.0,3.86
3,2,128,float4,16,3554503447544.29,591490.74,2093908.0,3.54
3,2,256,float,4,1934721440110.78,1086818.27,8382721.0,7.71
3,2,256,float2,8,3631800542005.42,577293.64,4187812.0,7.25
3,2,256,float4,16,5927491501416.43,353571.3,2092129.0,5.92
3,4,64,float,4,934731609451.63,1126606.19,4193137.0,3.72
3,4,64,float2,8,1795335331905.78,586107.31,2095681.0,3.58
3,4,64,float4,16,3339484153876.82,314694.78,1046956.0,3.33
3,4,128,float,4,1794749732391.35,585118.43,4191361.0,7.16
3,4,128,float2,8,3417667890656.87,306897.93,2093908.0,6.82
3,4,128,float4,16,5537151174330.14,189260.8,1046065.0,5.53
3,4,256,float,4,3360410750100.28,310870.03,4187812.0,13.47
3,4,256,float2,8,5636110437710.44,184970.57,2092129.0,11.31
3,4,256,float4,16,6692161794152.98,156146.74,1044289.0,6.69
4,1,64,float,4,352507232451.79,11966023.49,16774913.0,1.4
4,1,64,float2,8,700689586093.92,6021984.15,8386276.0,1.39
4,1,64,float4,16,1355852510354.58,3109662.08,4192545.0,1.35
4,1,128,float,4,707994808648.03,5954017.7,16772548.0,2.82
4,1,128,float2,8,1383684618556.7,3046608.11,8385089.0,2.75
4,1,128,float4,16,2625050761222.65,1605233.42,4191361.0,2.61
4,1,256,float,4,1386460368311.18,3037904.15,16770177.0,5.52
4,1,256,float2,8,2683574549819.93,1567928.0,8382721.0,5.35
4,1,256,float4,16,4785013641882.72,877850.47,4186625.0,4.77
4,2,64,float,4,666823604212.2,3162550.82,8386276.0,2.65
4,2,64,float2,8,1320899633815.02,1595189.47,4192545.0,2.63
4,2,64,float4,16,2499434704830.05,842420.27,2095681.0,2.49
4,2,128,float,4,1325209324377.72,1588877.54,8385089.0,5.28
4,2,128,float2,8,2559601923223.69,821410.43,4191361.0,5.1
4,2,128,float4,16,4574650641901.12,459130.54,2093313.0,4.56
4,2,256,float,4,2550511599604.47,822929.91,8382721.0,10.19
4,2,256,float2,8,4668440975609.76,448258.61,4186625.0,9.34
4,2,256,float4,16,6552927058823.53,318911.47,2088577.0,6.55
4,4,64,float,4,1249102934604.5,842604.08,4192545.0,4.98
4,4,64,float2,8,2389695553021.66,439940.2,2095681.0,4.76
4,4,64,float4,16,4228548346377.18,248372.76,1046657.0,4.21
4,4,128,float,4,2378184912081.68,441347.89,4191361.0,9.5
4,4,128,float2,8,4294432820512.82,243683.38,2093313.0,8.59
4,4,128,float4,16,6260975646309.48,166951.53,1044289.0,6.26
4,4,256,float,4,4247813340096.37,244742.68,4186625.0,17.11
4,4,256,float2,8,6228302646291.46,166774.85,2088577.0,12.52
4,4,256,float4,16,6690016051364.37,155761.69,1041921.0,6.69
