PairID,Mode,Family,AType,BType,SparseVariant,Satfinite,M,N,SemanticK,DenseBaseK,DenseInstructionsPerPacket,SparseInstructionsPerPacket,Iterations,Unroll,Warps,DenseBuildStatus,DenseRunStatus,SparseBuildStatus,SparseRunStatus,DenseCycles,DenseCyclesPerPacket,DenseOpsPerCycle,SparseCycles,SparseCyclesPerPacket,SparseOpsPerCycle,SparseOverDenseOpsPerCycle,SparseOverDenseCyclesPerPacket,DenseNotes,SparseNotes
throughput:tf32:tf32xtf32:k8:sp:nosat,throughput,tf32,tf32,tf32,sp,nosat,16,8,8,8,1,1,4096,8,864,ok,ok,ok,ok,262429,8.008698,255.722000,262311,8.005096,255.837000,1.000450,0.999550,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:tf32:tf32xtf32:k8:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,16,8,8,8,1,1,4096,8,864,ok,ok,ok,ok,262429,8.008698,255.722000,262311,8.005096,255.837000,1.000450,0.999550,,
throughput:tf32:tf32xtf32:k16:sp:nosat,throughput,tf32,tf32,tf32,sp,nosat,16,8,16,8,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,255.770000,262400,8.007812,511.500000,1.999844,0.500039,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:tf32:tf32xtf32:k16:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,16,8,16,8,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,255.770000,262400,8.007812,511.500000,1.999844,0.500039,,
throughput:fp8:e4m3xe4m3:k64:sp:nosat,throughput,fp8,e4m3,e4m3,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,1023.081000,262400,8.007812,2046.002000,1.999844,0.500039,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:fp8:e4m3xe4m3:k64:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,1023.081000,262400,8.007812,2046.002000,1.999844,0.500039,,
throughput:fp8:e4m3xe5m2:k64:sp:nosat,throughput,fp8,e4m3,e5m2,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524728,16.013428,1023.141000,262400,8.007812,2046.002000,1.999726,0.500069,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:fp8:e4m3xe5m2:k64:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524728,16.013428,1023.141000,262400,8.007812,2046.002000,1.999726,0.500069,,
throughput:fp8:e5m2xe4m3:k64:sp:nosat,throughput,fp8,e5m2,e4m3,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,1023.081000,262400,8.007812,2046.002000,1.999844,0.500039,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:fp8:e5m2xe4m3:k64:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,1023.081000,262400,8.007812,2046.002000,1.999844,0.500039,,
throughput:fp8:e5m2xe5m2:k64:sp:nosat,throughput,fp8,e5m2,e5m2,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,1023.081000,262400,8.007812,2046.002000,1.999844,0.500039,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:fp8:e5m2xe5m2:k64:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,524759,16.014374,1023.081000,262400,8.007812,2046.002000,1.999844,0.500039,,
throughput:int8:u8xu8:k32:sp:nosat,throughput,int8,u8,u8,sp,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,8629381,263.347809,31.107000,0.016145,61.937506,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xu8:k32:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139291,4.250824,1927.156000,1.000237,0.999763,,
throughput:int8:u8xu8:k32:sp:sat,throughput,int8,u8,u8,sp,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,9353908,285.458618,28.698000,0.014895,67.137809,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xu8:k32:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139292,4.250854,1927.142000,1.000230,0.999770,,
throughput:int8:u8xu8:k64:sp:nosat,throughput,int8,u8,u8,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10137830,309.382019,52.957000,0.027480,36.390046,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xu8:k64:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:u8xu8:k64:sp:sat,throughput,int8,u8,u8,sp,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10137808,309.381348,52.957000,0.027480,36.389967,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xu8:k64:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:u8xs8:k32:sp:nosat,throughput,int8,u8,s8,sp,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,11959260,364.967651,22.446000,0.011650,85.837760,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xs8:k32:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139292,4.250854,1927.142000,1.000230,0.999770,,
throughput:int8:u8xs8:k32:sp:sat,throughput,int8,u8,s8,sp,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139327,4.251923,1926.658000,9199126,280.735046,29.181000,0.015146,66.025430,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xs8:k32:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139327,4.251923,1926.658000,139292,4.250854,1927.142000,1.000251,0.999749,,
throughput:int8:u8xs8:k64:sp:nosat,throughput,int8,u8,s8,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10137819,309.381683,52.957000,0.027480,36.390006,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xs8:k64:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:u8xs8:k64:sp:sat,throughput,int8,u8,s8,sp,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,12303647,375.477509,43.635000,0.022643,44.164311,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:u8xs8:k64:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:s8xu8:k32:sp:nosat,throughput,int8,s8,u8,sp,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,12236198,373.419128,21.938000,0.011386,87.825487,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xu8:k32:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139292,4.250854,1927.142000,1.000230,0.999770,,
throughput:int8:s8xu8:k32:sp:sat,throughput,int8,s8,u8,sp,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,8629363,263.347260,31.107000,0.016145,61.937377,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xu8:k32:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139292,4.250854,1927.142000,1.000230,0.999770,,
throughput:int8:s8xu8:k64:sp:nosat,throughput,int8,s8,u8,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10137820,309.381714,52.957000,0.027480,36.390010,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xu8:k64:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:s8xu8:k64:sp:sat,throughput,int8,s8,u8,sp,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10724459,327.284515,50.060000,0.025977,38.495768,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xu8:k64:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:s8xs8:k32:sp:nosat,throughput,int8,s8,s8,sp,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,8621839,263.117645,31.134000,0.016159,61.883373,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xs8:k32:ordered:nosat,throughput,int8,s8,s8,ordered,nosat,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139292,4.250854,1927.142000,1.000230,0.999770,,
throughput:int8:s8xs8:k32:sp:sat,throughput,int8,s8,s8,sp,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,8628453,263.319489,31.110000,0.016147,61.930846,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xs8:k32:ordered:sat,throughput,int8,s8,s8,ordered,satfinite,16,8,32,32,1,1,4096,8,864,ok,ok,ok,ok,139324,4.251831,1926.699000,139292,4.250854,1927.142000,1.000230,0.999770,,
throughput:int8:s8xs8:k64:sp:nosat,throughput,int8,s8,s8,sp,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10137824,309.381836,52.957000,0.027480,36.390024,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xs8:k64:ordered:nosat,throughput,int8,s8,s8,ordered,nosat,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int8:s8xs8:k64:sp:sat,throughput,int8,s8,s8,sp,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,10137819,309.381683,52.957000,0.027480,36.390006,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int8:s8xs8:k64:ordered:sat,throughput,int8,s8,s8,ordered,satfinite,16,8,64,32,2,1,4096,8,864,ok,ok,ok,ok,278588,8.501831,1927.114000,139329,4.251984,3853.260000,1.999498,0.500126,,
throughput:int4:u4xu4:k64:sp:nosat,throughput,int4,u4,u4,sp,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,5730683,174.886566,93.684000,25054733,764.609772,21.428000,0.228726,4.372033,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xu4:k64:ordered:nosat,throughput,int4,u4,u4,ordered,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,5730683,174.886566,93.684000,27612950,842.680359,19.443000,0.207538,4.818440,,
throughput:int4:u4xu4:k64:sp:sat,throughput,int4,u4,u4,sp,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,5906811,180.261566,90.890000,26165614,798.511169,20.518000,0.225745,4.429736,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xu4:k64:ordered:sat,throughput,int4,u4,u4,ordered,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,5906811,180.261566,90.890000,28625989,873.595856,18.755000,0.206348,4.846268,,
throughput:int4:u4xu4:k128:sp:nosat,throughput,int4,u4,u4,sp,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,11104607,338.885712,96.693000,28730412,876.782593,37.373000,0.386512,2.587252,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xu4:k128:ordered:nosat,throughput,int4,u4,u4,ordered,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,11104607,338.885712,96.693000,28580854,872.218445,37.569000,0.388539,2.573783,,
throughput:int4:u4xu4:k128:sp:sat,throughput,int4,u4,u4,sp,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,11329901,345.761139,94.771000,27685836,844.904663,38.783000,0.409229,2.443608,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xu4:k128:ordered:sat,throughput,int4,u4,u4,ordered,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,11329901,345.761139,94.771000,28309664,863.942383,37.928000,0.400207,2.498668,,
throughput:int4:u4xs4:k64:sp:nosat,throughput,int4,u4,s4,sp,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,12299062,375.337585,43.651000,32639256,996.071045,16.449000,0.376830,2.653800,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xs4:k64:ordered:nosat,throughput,int4,u4,s4,ordered,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,12299062,375.337585,43.651000,30782986,939.422180,17.441000,0.399556,2.502873,,
throughput:int4:u4xs4:k64:sp:sat,throughput,int4,u4,s4,sp,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,12671895,386.715546,42.367000,33456414,1021.008728,16.047000,0.378762,2.640206,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xs4:k64:ordered:sat,throughput,int4,u4,s4,ordered,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,12671895,386.715546,42.367000,30660107,935.672211,17.510000,0.413293,2.419536,,
throughput:int4:u4xs4:k128:sp:nosat,throughput,int4,u4,s4,sp,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,22585753,689.262482,47.541000,39378074,1201.723450,27.268000,0.573568,1.743492,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xs4:k128:ordered:nosat,throughput,int4,u4,s4,ordered,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,22585753,689.262482,47.541000,38117638,1163.257996,28.169000,0.592520,1.687685,,
throughput:int4:u4xs4:k128:sp:sat,throughput,int4,u4,s4,sp,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,22827416,696.637451,47.037000,39247399,1197.735565,27.358000,0.581627,1.719310,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:u4xs4:k128:ordered:sat,throughput,int4,u4,s4,ordered,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,22827416,696.637451,47.037000,42106023,1284.973846,25.501000,0.542148,1.844537,,
throughput:int4:s4xu4:k64:sp:nosat,throughput,int4,s4,u4,sp,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,18726469,571.486481,28.669000,31239236,953.345825,17.186000,0.599463,1.668186,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xu4:k64:ordered:nosat,throughput,int4,s4,u4,ordered,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,18726469,571.486481,28.669000,29661105,905.185089,18.100000,0.631344,1.583913,,
throughput:int4:s4xu4:k64:sp:sat,throughput,int4,s4,u4,sp,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,18375127,560.764374,29.217000,30871881,942.135040,17.390000,0.595201,1.680091,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xu4:k64:ordered:sat,throughput,int4,s4,u4,ordered,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,18375127,560.764374,29.217000,35253430,1075.849304,15.229000,0.521238,1.918541,,
throughput:int4:s4xu4:k128:sp:nosat,throughput,int4,s4,u4,sp,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,36927356,1126.933472,29.077000,39349535,1200.852509,27.287000,0.938439,1.065593,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xu4:k128:ordered:nosat,throughput,int4,s4,u4,ordered,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,36927356,1126.933472,29.077000,41571203,1268.652435,25.829000,0.888297,1.125756,,
throughput:int4:s4xu4:k128:sp:sat,throughput,int4,s4,u4,sp,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,36274639,1107.014130,29.600000,43701764,1333.671997,24.570000,0.830068,1.204747,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xu4:k128:ordered:sat,throughput,int4,s4,u4,ordered,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,36274639,1107.014130,29.600000,42505880,1297.176514,25.261000,0.853412,1.171780,,
throughput:int4:s4xs4:k64:sp:nosat,throughput,int4,s4,s4,sp,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,20747722,633.170227,25.876000,44284958,1351.469666,12.123000,0.468504,2.134449,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xs4:k64:ordered:nosat,throughput,int4,s4,s4,ordered,nosat,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,20747722,633.170227,25.876000,37744651,1151.875336,14.224000,0.549699,1.819219,,
throughput:int4:s4xs4:k64:sp:sat,throughput,int4,s4,s4,sp,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,21215235,647.437592,25.306000,41094268,1254.097534,13.064000,0.516241,1.937017,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xs4:k64:ordered:sat,throughput,int4,s4,s4,ordered,satfinite,16,8,64,64,1,1,4096,8,864,ok,ok,ok,ok,21215235,647.437592,25.306000,37221394,1135.906799,14.424000,0.569983,1.754465,,
throughput:int4:s4xs4:k128:sp:nosat,throughput,int4,s4,s4,sp,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,50032058,1526.857239,21.461000,53674956,1638.029663,20.005000,0.932156,1.072811,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xs4:k128:ordered:nosat,throughput,int4,s4,s4,ordered,nosat,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,50032058,1526.857239,21.461000,54676266,1668.587219,19.638000,0.915055,1.092825,,
throughput:int4:s4xs4:k128:sp:sat,throughput,int4,s4,s4,sp,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,43950378,1341.259094,24.431000,52023963,1587.645355,20.639000,0.844787,1.183698,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
throughput:int4:s4xs4:k128:ordered:sat,throughput,int4,s4,s4,ordered,satfinite,16,8,128,64,2,1,4096,8,864,ok,ok,ok,ok,43950378,1341.259094,24.431000,51228011,1563.354828,20.960000,0.857926,1.165587,,
latency:f16:f16xf16:k16:sp:nosat,latency,f16,f16,f16,sp,nosat,16,8,16,16,1,1,2048,1,864,ok,ok,ok,ok,131200,64.062500,63.938000,305905,149.367676,27.422000,0.428884,2.331593,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:f16:f16xf16:k16:ordered:nosat,latency,f16,f16,f16,ordered,nosat,16,8,16,16,1,1,2048,1,864,ok,ok,ok,ok,131200,64.062500,63.938000,131111,64.019043,63.981000,1.000673,0.999322,,
latency:f16:f16xf16:k32:sp:nosat,latency,f16,f16,f16,sp,nosat,16,8,32,16,2,1,2048,1,864,ok,ok,ok,ok,262406,128.127930,63.936000,402398,196.483398,41.693000,0.652105,1.533494,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:f16:f16xf16:k32:ordered:nosat,latency,f16,f16,f16,ordered,nosat,16,8,32,16,2,1,2048,1,864,ok,ok,ok,ok,262406,128.127930,63.936000,131200,64.062500,127.875000,2.000047,0.499989,,
latency:f16f16:f16xf16:k16:sp:nosat,latency,f16f16,f16,f16,sp,nosat,16,8,16,16,1,1,2048,1,864,ok,ok,ok,ok,65580,32.021484,127.914000,313443,153.048340,26.763000,0.209227,4.779552,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:f16f16:f16xf16:k16:ordered:nosat,latency,f16f16,f16,f16,ordered,nosat,16,8,16,16,1,1,2048,1,864,ok,ok,ok,ok,65580,32.021484,127.914000,65552,32.007812,127.969000,1.000430,0.999573,,
latency:f16f16:f16xf16:k32:sp:nosat,latency,f16f16,f16,f16,sp,nosat,16,8,32,16,2,1,2048,1,864,ok,ok,ok,ok,133677,65.271973,125.506000,417971,204.087402,40.140000,0.319825,3.126723,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:f16f16:f16xf16:k32:ordered:nosat,latency,f16f16,f16,f16,ordered,nosat,16,8,32,16,2,1,2048,1,864,ok,ok,ok,ok,133677,65.271973,125.506000,65591,32.026855,255.785000,2.038030,0.490668,,
latency:bf16:bf16xbf16:k16:sp:nosat,latency,bf16,bf16,bf16,sp,nosat,16,8,16,16,1,1,2048,1,864,ok,ok,ok,ok,131200,64.062500,63.938000,131111,64.019043,63.981000,1.000673,0.999322,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:bf16:bf16xbf16:k16:ordered:nosat,latency,bf16,bf16,bf16,ordered,nosat,16,8,16,16,1,1,2048,1,864,ok,ok,ok,ok,131200,64.062500,63.938000,131111,64.019043,63.981000,1.000673,0.999322,,
latency:bf16:bf16xbf16:k32:sp:nosat,latency,bf16,bf16,bf16,sp,nosat,16,8,32,16,2,1,2048,1,864,ok,ok,ok,ok,262406,128.127930,63.936000,131200,64.062500,127.875000,2.000047,0.499989,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:bf16:bf16xbf16:k32:ordered:nosat,latency,bf16,bf16,bf16,ordered,nosat,16,8,32,16,2,1,2048,1,864,ok,ok,ok,ok,262406,128.127930,63.936000,131200,64.062500,127.875000,2.000047,0.499989,,
latency:tf32:tf32xtf32:k8:sp:nosat,latency,tf32,tf32,tf32,sp,nosat,16,8,8,8,1,1,2048,1,864,ok,ok,ok,ok,131200,64.062500,31.969000,131111,64.019043,31.990000,1.000657,0.999322,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
latency:tf32:tf32xtf32:k8:ordered:nosat,latency,tf32,tf32,tf32,ordered,nosat,16,8,8,8,1,1,2048,1,864,ok,ok,ok,ok,131200,64.062500,31.969000,131111,64.019043,31.990000,1.000657,0.999322,,
latency:tf32:tf32xtf32:k16:sp:nosat,latency,tf32,tf32,tf32,sp,nosat,16,8,16,8,2,1,2048,1,864,ok,ok,ok,ok,262406,128.127930,31.968000,131200,64.062500,63.938000,2.000063,0.499989,,ptxas advisory: .sp::ordered_metadata recommended for sparse performance
