Mode,SparseVariant,Family,Satfinite,InputFormats,Accumulator,SemanticK,SparseInstruction,DenseInstruction,DenseInstructionsPerPacket,Rows,MedianSparseOverDenseOpsPerCycle,MedianSparseOverDenseCyclesPerPacket
throughput,ordered,int8,satfinite,u8/s8 x u8/s8,s32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,1,4,1.000230,0.999770
throughput,ordered,int8,nosat,u8/s8 x u8/s8,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,2,4,1.999498,0.500126
throughput,ordered,int8,satfinite,u8/s8 x u8/s8,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,2,4,1.999498,0.500126
throughput,ordered,int4,nosat,u4/s4 x u4/s4,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,1,4,0.474628,2.161046
throughput,ordered,int4,satfinite,u4/s4 x u4/s4,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,1,4,0.467266,2.169039
throughput,ordered,int4,nosat,u4/s4 x u4/s4,s32,128,mma.sp::ordered_metadata.sync.aligned.m16n8k128.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,2,4,0.740409,1.406721
throughput,ordered,int4,satfinite,u4/s4 x u4/s4,s32,128,mma.sp::ordered_metadata.sync.aligned.m16n8k128.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,2,4,0.697780,1.508158
throughput,sp,f16,nosat,f16 x f16,f32,16,mma.sp.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,1,1,0.041823,23.910698
throughput,sp,f16,nosat,f16 x f16,f32,32,mma.sp.sync.aligned.m16n8k32.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,2,1,0.065420,15.286034
throughput,sp,f16f16,nosat,f16 x f16,f16,16,mma.sp.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,1,1,0.020458,48.881362
throughput,sp,f16f16,nosat,f16 x f16,f16,32,mma.sp.sync.aligned.m16n8k32.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,2,1,0.034066,29.354396
throughput,sp,bf16,nosat,bf16 x bf16,f32,16,mma.sp.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,1,1,1.000450,0.999550
throughput,sp,bf16,nosat,bf16 x bf16,f32,32,mma.sp.sync.aligned.m16n8k32.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,2,1,1.999846,0.500039
throughput,sp,tf32,nosat,tf32 x tf32,f32,8,mma.sp.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,1,1,1.000450,0.999550
throughput,sp,tf32,nosat,tf32 x tf32,f32,16,mma.sp.sync.aligned.m16n8k16.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,2,1,1.999844,0.500039
throughput,sp,fp8,nosat,e4m3/e5m2 x e4m3/e5m2,f32,64,mma.sp.sync.aligned.m16n8k64.row.col.f32.e4m3.e4m3.f32,mma.sync.aligned.m16n8k32.row.col.f32.e4m3.e4m3.f32,2,4,1.999844,0.500039
throughput,sp,int8,nosat,u8/s8 x u8/s8,s32,32,mma.sp.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,1,4,0.013898,73.887633
throughput,sp,int8,satfinite,u8/s8 x u8/s8,s32,32,mma.sp.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,1,4,0.015645,63.981403
throughput,sp,int8,nosat,u8/s8 x u8/s8,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,2,4,0.027480,36.390017
throughput,sp,int8,satfinite,u8/s8 x u8/s8,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,2,4,0.026729,37.442887
throughput,sp,int4,nosat,u4/s4 x u4/s4,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,1,4,0.422667,2.394125
throughput,sp,int4,satfinite,u4/s4 x u4/s4,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,1,4,0.447501,2.288612
throughput,sp,int4,nosat,u4/s4 x u4/s4,s32,128,mma.sp.sync.aligned.m16n8k128.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,2,4,0.752862,1.408152
throughput,sp,int4,satfinite,u4/s4 x u4/s4,s32,128,mma.sp.sync.aligned.m16n8k128.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,2,4,0.705847,1.462028
latency,ordered,f16,nosat,f16 x f16,f32,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,1,1,1.000673,0.999322
latency,ordered,f16,nosat,f16 x f16,f32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,2,1,2.000047,0.499989
latency,ordered,f16f16,nosat,f16 x f16,f16,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,1,1,1.000430,0.999573
latency,ordered,f16f16,nosat,f16 x f16,f16,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,2,1,2.038030,0.490668
latency,ordered,bf16,nosat,bf16 x bf16,f32,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,1,1,1.000673,0.999322
latency,ordered,bf16,nosat,bf16 x bf16,f32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,2,1,2.000047,0.499989
latency,ordered,tf32,nosat,tf32 x tf32,f32,8,mma.sp::ordered_metadata.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,1,1,1.000657,0.999322
latency,ordered,tf32,nosat,tf32 x tf32,f32,16,mma.sp::ordered_metadata.sync.aligned.m16n8k16.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,2,1,2.000063,0.499989
latency,ordered,fp8,nosat,e4m3/e5m2 x e4m3/e5m2,f32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.f32.e4m3.e4m3.f32,mma.sync.aligned.m16n8k32.row.col.f32.e4m3.e4m3.f32,2,4,2.000047,0.499989
latency,ordered,int8,nosat,u8/s8 x u8/s8,s32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,1,4,1.000071,0.999928
latency,ordered,int8,satfinite,u8/s8 x u8/s8,s32,32,mma.sp::ordered_metadata.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,1,4,1.000071,0.999928
latency,ordered,int8,nosat,u8/s8 x u8/s8,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,2,4,2.000245,0.499939
latency,ordered,int8,satfinite,u8/s8 x u8/s8,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,2,4,2.000245,0.499939
latency,ordered,int4,nosat,u4/s4 x u4/s4,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,1,4,0.498140,2.101272
latency,ordered,int4,satfinite,u4/s4 x u4/s4,s32,64,mma.sp::ordered_metadata.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,1,4,0.556819,1.872963
latency,ordered,int4,nosat,u4/s4 x u4/s4,s32,128,mma.sp::ordered_metadata.sync.aligned.m16n8k128.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,2,4,0.607770,1.696882
latency,ordered,int4,satfinite,u4/s4 x u4/s4,s32,128,mma.sp::ordered_metadata.sync.aligned.m16n8k128.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,2,4,0.597775,1.718273
latency,sp,f16,nosat,f16 x f16,f32,16,mma.sp.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,1,1,0.428884,2.331593
latency,sp,f16,nosat,f16 x f16,f32,32,mma.sp.sync.aligned.m16n8k32.row.col.f32.f16.f16.f32,mma.sync.aligned.m16n8k16.row.col.f32.f16.f16.f32,2,1,0.652105,1.533494
latency,sp,f16f16,nosat,f16 x f16,f16,16,mma.sp.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,1,1,0.209227,4.779552
latency,sp,f16f16,nosat,f16 x f16,f16,32,mma.sp.sync.aligned.m16n8k32.row.col.f16.f16.f16.f16,mma.sync.aligned.m16n8k16.row.col.f16.f16.f16.f16,2,1,0.319825,3.126723
latency,sp,bf16,nosat,bf16 x bf16,f32,16,mma.sp.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,1,1,1.000673,0.999322
latency,sp,bf16,nosat,bf16 x bf16,f32,32,mma.sp.sync.aligned.m16n8k32.row.col.f32.bf16.bf16.f32,mma.sync.aligned.m16n8k16.row.col.f32.bf16.bf16.f32,2,1,2.000047,0.499989
latency,sp,tf32,nosat,tf32 x tf32,f32,8,mma.sp.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,1,1,1.000657,0.999322
latency,sp,tf32,nosat,tf32 x tf32,f32,16,mma.sp.sync.aligned.m16n8k16.row.col.f32.tf32.tf32.f32,mma.sync.aligned.m16n8k8.row.col.f32.tf32.tf32.f32,2,1,2.000063,0.499989
latency,sp,fp8,nosat,e4m3/e5m2 x e4m3/e5m2,f32,64,mma.sp.sync.aligned.m16n8k64.row.col.f32.e4m3.e4m3.f32,mma.sync.aligned.m16n8k32.row.col.f32.e4m3.e4m3.f32,2,4,2.000047,0.499989
latency,sp,int8,nosat,u8/s8 x u8/s8,s32,32,mma.sp.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,1,4,0.171864,5.818528
latency,sp,int8,satfinite,u8/s8 x u8/s8,s32,32,mma.sp.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,1,4,0.171862,5.818614
latency,sp,int8,nosat,u8/s8 x u8/s8,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.s32.u8.u8.s32,2,4,0.239459,4.176067
latency,sp,int8,satfinite,u8/s8 x u8/s8,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.satfinite.s32.u8.u8.s32,mma.sync.aligned.m16n8k32.row.col.satfinite.s32.u8.u8.s32,2,4,0.239459,4.176059
latency,sp,int4,nosat,u4/s4 x u4/s4,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,1,4,0.498168,2.101284
latency,sp,int4,satfinite,u4/s4 x u4/s4,s32,64,mma.sp.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,1,4,0.556824,1.872966
latency,sp,int4,nosat,u4/s4 x u4/s4,s32,128,mma.sp.sync.aligned.m16n8k128.row.col.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.s32.u4.u4.s32,2,4,0.607770,1.696881
latency,sp,int4,satfinite,u4/s4 x u4/s4,s32,128,mma.sp.sync.aligned.m16n8k128.row.col.satfinite.s32.u4.u4.s32,mma.sync.aligned.m16n8k64.row.col.satfinite.s32.u4.u4.s32,2,4,0.597775,1.718274
