sm_a,sm_b,mean_abs_diff,gpc_a,gpc_b
0,98,2.4,1,6
0,99,2.4,1,6
0,120,2.4,1,6
0,121,2.4,1,6
0,142,2.3,1,6
0,143,2.3,1,6
0,158,2.3,1,6
0,159,2.3,1,6
0,12,2.4,1,7
0,13,2.4,1,7
0,34,2.4,1,7
0,35,2.4,1,7
0,56,2.4,1,7
0,57,2.4,1,7
0,78,2.4,1,7
0,79,2.4,1,7
0,100,2.4,1,7
0,101,2.4,1,7
0,122,2.4,1,7
0,123,2.4,1,7
0,144,2.4,1,7
0,145,2.4,1,7
0,160,2.3,1,7
0,161,2.3,1,7
0,14,2.4,1,8
0,15,2.4,1,8
0,36,2.4,1,8
0,37,2.4,1,8
0,58,2.4,1,8
0,59,2.4,1,8
0,80,2.4,1,8
0,81,2.4,1,8
0,102,2.4,1,8
0,103,2.4,1,8
0,124,2.4,1,8
0,125,2.4,1,8
0,146,2.4,1,8
0,147,2.4,1,8
0,162,2.4,1,8
0,163,2.4,1,8
0,16,2.4,1,9
0,17,2.4,1,9
0,38,2.4,1,9
0,39,2.4,1,9
0,60,2.4,1,9
0,61,2.4,1,9
0,82,2.4,1,9
0,83,2.4,1,9
0,104,2.4,1,9
0,105,2.4,1,9
0,126,2.4,1,9
0,127,2.4,1,9
0,148,2.4,1,9
0,149,2.4,1,9
0,164,2.4,1,9
0,165,2.4,1,9
0,18,2.4,1,10
0,19,2.4,1,10
0,40,2.4,1,10
0,41,2.4,1,10
0,62,2.4,1,10
0,63,2.4,1,10
0,84,2.4,1,10
0,85,2.4,1,10
0,106,2.4,1,10
0,107,2.4,1,10
0,128,2.4,1,10
0,129,2.4,1,10
0,150,2.4,1,10
0,151,2.4,1,10
0,166,2.4,1,10
0,167,2.4,1,10
0,20,2.4,1,0
0,21,2.4,1,0
0,42,2.4,1,0
0,43,2.4,1,0
0,64,2.4,1,0
0,65,2.4,1,0
0,86,2.3,1,0
0,87,2.3,1,0
0,108,2.4,1,0
0,109,2.4,1,0
0,130,2.4,1,0
0,131,2.4,1,0
0,152,2.3,1,0
0,153,2.3,1,0
0,168,2.3,1,0
0,169,2.3,1,0
1,0,2.4,1,1
1,1,0.0,1,1
1,22,2.4,1,1
1,23,2.4,1,1
1,44,2.4,1,1
1,45,2.4,1,1
1,66,2.4,1,1
1,67,2.4,1,1
1,88,2.4,1,1
1,89,2.4,1,1
1,110,2.4,1,1
1,111,2.4,1,1
1,132,2.4,1,1
1,133,2.4,1,1
1,2,2.4,1,2
1,3,2.4,1,2
1,24,2.4,1,2
1,25,2.4,1,2
1,46,2.4,1,2
1,47,2.4,1,2
1,68,2.4,1,2
1,69,2.4,1,2
1,90,2.4,1,2
1,91,2.4,1,2
1,112,2.4,1,2
1,113,2.4,1,2
1,134,2.4,1,2
1,135,2.4,1,2
1,4,2.4,1,3
1,5,2.4,1,3
1,26,2.4,1,3
1,27,2.4,1,3
1,48,2.4,1,3
1,49,2.4,1,3
1,70,2.4,1,3
1,71,2.4,1,3
1,92,2.4,1,3
1,93,2.4,1,3
1,114,2.4,1,3
1,115,2.4,1,3
1,136,2.4,1,3
1,137,2.4,1,3
1,6,2.4,1,4
1,7,2.4,1,4
1,28,2.4,1,4
1,29,2.4,1,4
1,50,2.4,1,4
1,51,2.4,1,4
1,72,2.4,1,4
1,73,2.4,1,4
1,94,2.4,1,4
1,95,2.4,1,4
1,116,2.4,1,4
1,117,2.4,1,4
1,138,2.4,1,4
1,139,2.4,1,4
1,154,2.3,1,4
1,155,2.3,1,4
1,8,2.4,1,5
1,9,2.4,1,5
1,30,2.4,1,5
1,31,2.4,1,5
1,52,2.4,1,5
1,53,2.4,1,5
1,74,2.3,1,5
1,75,2.3,1,5
1,96,2.4,1,5
1,97,2.4,1,5
1,118,2.4,1,5
1,119,2.4,1,5
1,140,2.3,1,5
1,141,2.3,1,5
1,156,2.3,1,5
1,157,2.3,1,5
1,10,2.4,1,6
1,11,2.4,1,6
1,32,2.4,1,6
1,33,2.4,1,6
1,54,2.4,1,6
1,55,2.4,1,6
1,76,2.3,1,6
1,77,2.3,1,6
1,98,2.4,1,6
1,99,2.4,1,6
1,120,2.4,1,6
1,121,2.4,1,6
1,142,2.4,1,6
1,143,2.4,1,6
1,158,2.3,1,6
1,159,2.3,1,6
1,12,2.4,1,7
1,13,2.4,1,7
1,34,2.4,1,7
1,35,2.4,1,7
1,56,2.4,1,7
1,57,2.4,1,7
1,78,2.4,1,7
1,79,2.4,1,7
1,100,2.4,1,7
1,101,2.4,1,7
1,122,2.4,1,7
1,123,2.4,1,7
1,144,2.4,1,7
1,145,2.4,1,7
1,160,2.3,1,7
1,161,2.4,1,7
1,14,2.4,1,8
1,15,2.4,1,8
1,36,2.4,1,8
1,37,2.4,1,8
1,58,2.4,1,8
1,59,2.4,1,8
1,80,2.4,1,8
1,81,2.4,1,8
1,102,2.4,1,8
1,103,2.4,1,8
1,124,2.4,1,8
1,125,2.4,1,8
1,146,2.4,1,8
1,147,2.4,1,8
1,162,2.4,1,8
1,163,2.4,1,8
1,16,2.4,1,9
1,17,2.4,1,9
1,38,2.4,1,9
1,39,2.4,1,9
1,60,2.4,1,9
1,61,2.4,1,9
1,82,2.4,1,9
1,83,2.4,1,9
1,104,2.4,1,9
1,105,2.4,1,9
1,126,2.4,1,9
1,127,2.4,1,9
1,148,2.4,1,9
1,149,2.4,1,9
1,164,2.4,1,9
1,165,2.4,1,9
1,18,2.4,1,10
1,19,2.4,1,10
1,40,2.4,1,10
1,41,2.4,1,10
1,62,2.4,1,10
1,63,2.4,1,10
1,84,2.4,1,10
1,85,2.4,1,10
1,106,2.4,1,10
1,107,2.4,1,10
1,128,2.4,1,10
1,129,2.4,1,10
1,150,2.4,1,10
1,151,2.4,1,10
1,166,2.4,1,10
1,167,2.4,1,10
1,20,2.4,1,0
1,21,2.4,1,0
1,42,2.4,1,0
1,43,2.4,1,0
1,64,2.4,1,0
1,65,2.4,1,0
1,86,2.3,1,0
1,87,2.3,1,0
1,108,2.4,1,0
1,109,2.4,1,0
1,130,2.4,1,0
1,131,2.4,1,0
1,152,2.3,1,0
1,153,2.3,1,0
1,168,2.3,1,0
1,169,2.3,1,0
22,0,2.4,1,1
22,1,2.4,1,1
22,22,0.0,1,1
22,23,2.4,1,1
22,44,2.4,1,1
22,45,2.4,1,1
22,66,2.4,1,1
22,67,2.3,1,1
22,88,2.4,1,1
22,89,2.4,1,1
22,110,2.3,1,1
22,111,2.4,1,1
22,132,2.3,1,1
22,133,2.3,1,1
22,2,2.4,1,2
22,3,2.4,1,2
22,24,2.4,1,2
22,25,2.4,1,2
22,46,2.4,1,2
22,47,2.4,1,2
22,68,2.4,1,2
22,69,2.4,1,2
22,90,2.4,1,2
22,91,2.4,1,2
22,112,2.4,1,2
22,113,2.4,1,2
22,134,2.4,1,2
22,135,2.4,1,2
22,4,2.4,1,3
22,5,2.4,1,3
22,26,2.4,1,3
22,27,2.4,1,3
22,48,2.4,1,3
22,49,2.4,1,3
22,70,2.4,1,3
22,71,2.4,1,3
22,92,2.4,1,3
22,93,2.4,1,3
22,114,2.4,1,3
22,115,2.4,1,3
22,136,2.4,1,3
22,137,2.4,1,3
22,6,2.4,1,4
22,7,2.4,1,4
22,28,2.4,1,4
22,29,2.4,1,4
22,50,2.4,1,4
22,51,2.4,1,4
22,72,2.3,1,4
22,73,2.3,1,4
22,94,2.4,1,4
22,95,2.4,1,4
22,116,2.4,1,4
22,117,2.4,1,4
22,138,2.3,1,4
22,139,2.3,1,4
22,154,2.3,1,4
22,155,2.3,1,4
22,8,2.4,1,5
22,9,2.4,1,5
22,30,2.4,1,5
22,31,2.4,1,5
22,52,2.3,1,5
22,53,2.3,1,5
22,74,2.3,1,5
22,75,2.3,1,5
22,96,2.4,1,5
22,97,2.4,1,5
22,118,2.3,1,5
22,119,2.4,1,5
22,140,2.3,1,5
22,141,2.3,1,5
22,156,2.3,1,5
22,157,2.3,1,5
22,10,2.4,1,6
22,11,2.4,1,6
22,32,2.4,1,6
22,33,2.4,1,6
22,54,2.3,1,6
22,55,2.3,1,6
22,76,2.3,1,6
22,77,2.3,1,6
22,98,2.4,1,6
22,99,2.4,1,6
22,120,2.3,1,6
22,121,2.4,1,6
22,142,2.3,1,6
22,143,2.3,1,6
22,158,2.3,1,6
22,159,2.3,1,6
22,12,2.4,1,7
22,13,2.4,1,7
22,34,2.4,1,7
22,35,2.4,1,7
22,56,2.4,1,7
22,57,2.4,1,7
22,78,2.3,1,7
22,79,2.3,1,7
22,100,2.4,1,7
22,101,2.4,1,7
22,122,2.4,1,7
22,123,2.4,1,7
22,144,2.4,1,7
22,145,2.4,1,7
22,160,2.3,1,7
22,161,2.3,1,7
22,14,2.4,1,8
22,15,2.4,1,8
22,36,2.4,1,8
22,37,2.4,1,8
22,58,2.4,1,8
22,59,2.4,1,8
22,80,2.4,1,8
22,81,2.4,1,8
22,102,2.4,1,8
22,103,2.4,1,8
22,124,2.4,1,8
22,125,2.4,1,8
22,146,2.4,1,8
22,147,2.4,1,8
22,162,2.4,1,8
22,163,2.4,1,8
22,16,2.4,1,9
22,17,2.4,1,9
22,38,2.4,1,9
22,39,2.4,1,9
22,60,2.4,1,9
22,61,2.4,1,9
22,82,2.4,1,9
22,83,2.4,1,9
22,104,2.4,1,9
22,105,2.4,1,9
22,126,2.4,1,9
22,127,2.4,1,9
22,148,2.4,1,9
22,149,2.4,1,9
22,164,2.4,1,9
22,165,2.4,1,9
22,18,2.4,1,10
22,19,2.4,1,10
22,40,2.4,1,10
22,41,2.4,1,10
22,62,2.4,1,10
22,63,2.4,1,10
22,84,2.3,1,10
22,85,2.3,1,10
22,106,2.4,1,10
22,107,2.4,1,10
22,128,2.4,1,10
22,129,2.4,1,10
22,150,2.4,1,10
22,151,2.4,1,10
22,166,2.4,1,10
22,167,2.4,1,10
22,20,2.4,1,0
22,21,2.4,1,0
22,42,2.4,1,0
22,43,2.4,1,0
22,64,2.3,1,0
22,65,2.3,1,0
22,86,2.3,1,0
22,87,2.3,1,0
22,108,2.4,1,0
22,109,2.4,1,0
22,130,2.3,1,0
22,131,2.4,1,0
22,152,2.3,1,0
22,153,2.3,1,0
22,168,2.3,1,0
22,169,2.3,1,0
23,0,2.4,1,1
23,1,2.4,1,1
23,22,2.4,1,1
23,23,0.0,1,1
23,44,2.4,1,1
23,45,2.4,1,1
23,66,2.4,1,1
23,67,2.4,1,1
23,88,2.4,1,1
23,89,2.4,1,1
23,110,2.3,1,1
23,111,2.4,1,1
23,132,2.3,1,1
23,133,2.3,1,1
23,2,2.4,1,2
23,3,2.4,1,2
23,24,2.4,1,2
23,25,2.4,1,2
23,46,2.4,1,2
23,47,2.4,1,2
23,68,2.4,1,2
23,69,2.4,1,2
23,90,2.4,1,2
23,91,2.4,1,2
23,112,2.4,1,2
23,113,2.4,1,2
23,134,2.4,1,2
23,135,2.4,1,2
23,4,2.4,1,3
23,5,2.4,1,3
23,26,2.4,1,3
23,27,2.4,1,3
23,48,2.4,1,3
23,49,2.4,1,3
23,70,2.4,1,3
23,71,2.4,1,3
23,92,2.4,1,3
23,93,2.4,1,3
23,114,2.4,1,3
23,115,2.4,1,3
23,136,2.4,1,3
23,137,2.4,1,3
23,6,2.4,1,4
23,7,2.4,1,4
23,28,2.4,1,4
23,29,2.4,1,4
23,50,2.4,1,4
23,51,2.4,1,4
23,72,2.3,1,4
23,73,2.3,1,4
23,94,2.4,1,4
23,95,2.4,1,4
23,116,2.4,1,4
23,117,2.4,1,4
23,138,2.4,1,4
23,139,2.4,1,4
23,154,2.3,1,4
23,155,2.3,1,4
23,8,2.4,1,5
23,9,2.4,1,5
23,30,2.4,1,5
23,31,2.4,1,5
23,52,2.3,1,5
23,53,2.3,1,5
23,74,2.3,1,5
23,75,2.3,1,5
23,96,2.4,1,5
23,97,2.4,1,5
23,118,2.4,1,5
23,119,2.4,1,5
23,140,2.3,1,5
23,141,2.3,1,5
23,156,2.3,1,5
23,157,2.3,1,5
23,10,2.4,1,6
23,11,2.4,1,6
23,32,2.4,1,6
23,33,2.4,1,6
23,54,2.3,1,6
23,55,2.3,1,6
23,76,2.3,1,6
23,77,2.3,1,6
23,98,2.4,1,6
23,99,2.4,1,6
23,120,2.3,1,6
23,121,2.4,1,6
23,142,2.3,1,6
23,143,2.3,1,6
23,158,2.3,1,6
23,159,2.3,1,6
23,12,2.4,1,7
23,13,2.4,1,7
23,34,2.4,1,7
23,35,2.4,1,7
23,56,2.4,1,7
23,57,2.4,1,7
23,78,2.3,1,7
23,79,2.3,1,7
23,100,2.4,1,7
23,101,2.4,1,7
23,122,2.4,1,7
23,123,2.4,1,7
23,144,2.4,1,7
23,145,2.4,1,7
23,160,2.3,1,7
23,161,2.3,1,7
23,14,2.4,1,8
23,15,2.4,1,8
23,36,2.4,1,8
23,37,2.4,1,8
23,58,2.4,1,8
23,59,2.4,1,8
23,80,2.4,1,8
23,81,2.4,1,8
23,102,2.4,1,8
23,103,2.4,1,8
23,124,2.4,1,8
23,125,2.4,1,8
23,146,2.4,1,8
23,147,2.4,1,8
23,162,2.4,1,8
23,163,2.4,1,8
23,16,2.4,1,9
23,17,2.4,1,9
23,38,2.4,1,9
23,39,2.4,1,9
23,60,2.4,1,9
23,61,2.4,1,9
23,82,2.4,1,9
23,83,2.4,1,9
23,104,2.4,1,9
23,105,2.4,1,9
23,126,2.4,1,9
23,127,2.4,1,9
23,148,2.4,1,9
23,149,2.4,1,9
23,164,2.4,1,9
23,165,2.4,1,9
23,18,2.4,1,10
23,19,2.4,1,10
23,40,2.4,1,10
23,41,2.4,1,10
23,62,2.4,1,10
23,63,2.4,1,10
23,84,2.3,1,10
23,85,2.3,1,10
23,106,2.4,1,10
23,107,2.4,1,10
23,128,2.4,1,10
23,129,2.4,1,10
23,150,2.4,1,10
23,151,2.4,1,10
23,166,2.4,1,10
23,167,2.4,1,10
23,20,2.4,1,0
23,21,2.4,1,0
23,42,2.4,1,0
23,43,2.4,1,0
23,64,2.3,1,0
23,65,2.3,1,0
23,86,2.3,1,0
23,87,2.3,1,0
23,108,2.4,1,0
23,109,2.4,1,0
23,130,2.4,1,0
23,131,2.4,1,0
23,152,2.3,1,0
23,153,2.3,1,0
23,168,2.3,1,0
23,169,2.3,1,0
44,0,2.4,1,1
44,1,2.4,1,1
44,22,2.4,1,1
44,23,2.4,1,1
44,44,0.0,1,1
44,45,2.3,1,1
44,66,2.3,1,1
44,67,2.3,1,1
44,88,2.4,1,1
44,89,2.3,1,1
44,110,2.3,1,1
44,111,2.3,1,1
44,132,2.3,1,1
44,133,2.3,1,1
44,2,2.4,1,2
44,3,2.4,1,2
44,24,2.4,1,2
44,25,2.4,1,2
44,46,2.4,1,2
44,47,2.4,1,2
44,68,2.4,1,2
44,69,2.3,1,2
44,90,2.4,1,2
44,91,2.4,1,2
44,112,2.4,1,2
44,113,2.4,1,2
44,134,2.3,1,2
44,135,2.3,1,2
44,4,2.4,1,3
44,5,2.4,1,3
44,26,2.4,1,3
44,27,2.4,1,3
44,48,2.4,1,3
44,49,2.4,1,3
44,70,2.3,1,3
44,71,2.3,1,3
44,92,2.4,1,3
44,93,2.4,1,3
44,114,2.4,1,3
44,115,2.4,1,3
44,136,2.3,1,3
44,137,2.4,1,3
44,6,2.4,1,4
44,7,2.4,1,4
44,28,2.4,1,4
44,29,2.4,1,4
44,50,2.3,1,4
44,51,2.3,1,4
44,72,2.3,1,4
44,73,2.3,1,4
44,94,2.4,1,4
44,95,2.4,1,4
44,116,2.4,1,4
44,117,2.4,1,4
44,138,2.3,1,4
44,139,2.3,1,4
44,154,2.3,1,4
44,155,2.3,1,4
44,8,2.4,1,5
44,9,2.4,1,5
44,30,2.3,1,5
44,31,2.3,1,5
44,52,2.3,1,5
44,53,2.3,1,5
44,74,2.3,1,5
44,75,2.3,1,5
44,96,2.3,1,5
44,97,2.4,1,5
44,118,2.3,1,5
44,119,2.3,1,5
44,140,2.3,1,5
44,141,2.3,1,5
44,156,2.3,1,5
44,157,2.3,1,5
44,10,2.4,1,6
44,11,2.4,1,6
44,32,2.4,1,6
44,33,2.4,1,6
44,54,2.3,1,6
44,55,2.3,1,6
44,76,2.3,1,6
44,77,2.3,1,6
44,98,2.4,1,6
44,99,2.4,1,6
44,120,2.3,1,6
44,121,2.3,1,6
44,142,2.3,1,6
44,143,2.3,1,6
44,158,2.3,1,6
44,159,2.3,1,6
44,12,2.4,1,7
44,13,2.4,1,7
44,34,2.4,1,7
44,35,2.4,1,7
44,56,2.3,1,7
44,57,2.3,1,7
44,78,2.3,1,7
44,79,2.3,1,7
44,100,2.4,1,7
44,101,2.4,1,7
44,122,2.3,1,7
44,123,2.4,1,7
44,144,2.3,1,7
44,145,2.3,1,7
44,160,2.3,1,7
44,161,2.3,1,7
44,14,2.4,1,8
44,15,2.4,1,8
44,36,2.4,1,8
44,37,2.4,1,8
44,58,2.4,1,8
44,59,2.4,1,8
44,80,2.4,1,8
44,81,2.3,1,8
44,102,2.4,1,8
44,103,2.4,1,8
44,124,2.4,1,8
44,125,2.4,1,8
44,146,2.4,1,8
44,147,2.4,1,8
44,162,2.3,1,8
44,163,2.3,1,8
44,16,2.4,1,9
44,17,2.4,1,9
44,38,2.4,1,9
44,39,2.4,1,9
44,60,2.4,1,9
44,61,2.4,1,9
44,82,2.3,1,9
44,83,2.4,1,9
44,104,2.4,1,9
44,105,2.4,1,9
44,126,2.4,1,9
44,127,2.4,1,9
44,148,2.4,1,9
44,149,2.4,1,9
44,164,2.3,1,9
44,165,2.3,1,9
44,18,2.4,1,10
44,19,2.4,1,10
44,40,2.4,1,10
44,41,2.4,1,10
44,62,2.3,1,10
44,63,2.3,1,10
44,84,2.3,1,10
44,85,2.3,1,10
44,106,2.4,1,10
44,107,2.4,1,10
44,128,2.4,1,10
44,129,2.4,1,10
44,150,2.3,1,10
44,151,2.3,1,10
44,166,2.3,1,10
44,167,2.3,1,10
44,20,2.4,1,0
44,21,2.4,1,0
44,42,2.3,1,0
44,43,2.3,1,0
44,64,2.3,1,0
44,65,2.3,1,0
44,86,2.3,1,0
44,87,2.3,1,0
44,108,2.4,1,0
44,109,2.4,1,0
44,130,2.3,1,0
44,131,2.3,1,0
44,152,2.3,1,0
44,153,2.3,1,0
44,168,2.3,1,0
44,169,2.3,1,0
45,0,2.4,1,1
45,1,2.4,1,1
45,22,2.4,1,1
45,23,2.4,1,1
45,44,2.3,1,1
45,45,0.0,1,1
45,66,2.3,1,1
45,67,2.3,1,1
45,88,2.4,1,1
45,89,2.4,1,1
45,110,2.3,1,1
45,111,2.3,1,1
45,132,2.3,1,1
45,133,2.3,1,1
45,2,2.4,1,2
45,3,2.4,1,2
45,24,2.4,1,2
45,25,2.4,1,2
45,46,2.4,1,2
45,47,2.4,1,2
45,68,2.4,1,2
45,69,2.3,1,2
45,90,2.4,1,2
45,91,2.4,1,2
45,112,2.4,1,2
45,113,2.4,1,2
45,134,2.3,1,2
45,135,2.3,1,2
45,4,2.4,1,3
45,5,2.4,1,3
45,26,2.4,1,3
45,27,2.4,1,3
45,48,2.4,1,3
45,49,2.4,1,3
45,70,2.3,1,3
45,71,2.3,1,3
45,92,2.4,1,3
45,93,2.4,1,3
45,114,2.4,1,3
45,115,2.4,1,3
45,136,2.3,1,3
45,137,2.4,1,3
45,6,2.4,1,4
45,7,2.4,1,4
45,28,2.4,1,4
45,29,2.4,1,4
45,50,2.3,1,4
45,51,2.3,1,4
45,72,2.3,1,4
45,73,2.3,1,4
45,94,2.4,1,4
45,95,2.4,1,4
45,116,2.4,1,4
45,117,2.4,1,4
45,138,2.3,1,4
45,139,2.3,1,4
45,154,2.3,1,4
45,155,2.3,1,4
45,8,2.4,1,5
45,9,2.4,1,5
45,30,2.3,1,5
45,31,2.3,1,5
45,52,2.3,1,5
45,53,2.3,1,5
45,74,2.3,1,5
45,75,2.3,1,5
45,96,2.3,1,5
45,97,2.4,1,5
45,118,2.3,1,5
45,119,2.3,1,5
45,140,2.3,1,5
45,141,2.3,1,5
45,156,2.3,1,5
45,157,2.3,1,5
45,10,2.4,1,6
45,11,2.4,1,6
45,32,2.4,1,6
45,33,2.4,1,6
45,54,2.3,1,6
45,55,2.3,1,6
45,76,2.3,1,6
45,77,2.3,1,6
45,98,2.4,1,6
45,99,2.4,1,6
45,120,2.3,1,6
45,121,2.3,1,6
45,142,2.3,1,6
45,143,2.3,1,6
45,158,2.3,1,6
45,159,2.3,1,6
45,12,2.4,1,7
45,13,2.4,1,7
45,34,2.4,1,7
45,35,2.4,1,7
45,56,2.4,1,7
45,57,2.3,1,7
45,78,2.3,1,7
45,79,2.3,1,7
45,100,2.4,1,7
45,101,2.4,1,7
45,122,2.3,1,7
45,123,2.4,1,7
45,144,2.3,1,7
45,145,2.3,1,7
45,160,2.3,1,7
45,161,2.3,1,7
45,14,2.4,1,8
45,15,2.4,1,8
45,36,2.4,1,8
45,37,2.4,1,8
45,58,2.4,1,8
45,59,2.4,1,8
45,80,2.4,1,8
45,81,2.3,1,8
45,102,2.4,1,8
45,103,2.4,1,8
45,124,2.4,1,8
45,125,2.4,1,8
45,146,2.4,1,8
45,147,2.4,1,8
45,162,2.3,1,8
45,163,2.3,1,8
45,16,2.4,1,9
45,17,2.4,1,9
45,38,2.4,1,9
45,39,2.4,1,9
45,60,2.4,1,9
45,61,2.4,1,9
45,82,2.3,1,9
45,83,2.4,1,9
45,104,2.4,1,9
45,105,2.4,1,9
45,126,2.4,1,9
45,127,2.4,1,9
45,148,2.4,1,9
45,149,2.4,1,9
45,164,2.3,1,9
45,165,2.3,1,9
45,18,2.4,1,10
45,19,2.4,1,10
45,40,2.4,1,10
45,41,2.4,1,10
45,62,2.3,1,10
45,63,2.3,1,10
45,84,2.3,1,10
45,85,2.3,1,10
45,106,2.4,1,10
45,107,2.4,1,10
45,128,2.4,1,10
45,129,2.4,1,10
45,150,2.3,1,10
45,151,2.3,1,10
45,166,2.3,1,10
45,167,2.3,1,10
45,20,2.4,1,0
45,21,2.4,1,0
45,42,2.3,1,0
45,43,2.3,1,0
45,64,2.3,1,0
45,65,2.3,1,0
45,86,2.3,1,0
45,87,2.3,1,0
45,108,2.4,1,0
45,109,2.4,1,0
45,130,2.3,1,0
45,131,2.3,1,0
45,152,2.3,1,0
45,153,2.3,1,0
45,168,2.3,1,0
45,169,2.3,1,0
66,0,2.4,1,1
66,1,2.4,1,1
66,22,2.4,1,1
66,23,2.4,1,1
66,44,2.3,1,1
66,45,2.3,1,1
66,66,0.0,1,1
66,67,2.3,1,1
66,88,2.3,1,1
66,89,2.3,1,1
66,110,2.3,1,1
66,111,2.3,1,1
66,132,2.3,1,1
66,133,2.3,1,1
66,2,2.4,1,2
66,3,2.4,1,2
66,24,2.4,1,2
66,25,2.4,1,2
66,46,2.4,1,2
66,47,2.4,1,2
66,68,2.3,1,2
66,69,2.3,1,2
66,90,2.4,1,2
66,91,2.4,1,2
66,112,2.3,1,2
66,113,2.4,1,2
66,134,2.3,1,2
66,135,2.3,1,2
66,4,2.4,1,3
66,5,2.4,1,3
66,26,2.4,1,3
66,27,2.4,1,3
66,48,2.4,1,3
66,49,2.4,1,3
66,70,2.3,1,3
66,71,2.3,1,3
66,92,2.4,1,3
66,93,2.4,1,3
66,114,2.3,1,3
66,115,2.4,1,3
66,136,2.3,1,3
66,137,2.3,1,3
66,6,2.4,1,4
66,7,2.4,1,4
66,28,2.4,1,4
66,29,2.3,1,4
66,50,2.3,1,4
66,51,2.3,1,4
66,72,2.3,1,4
66,73,2.3,1,4
66,94,2.4,1,4
66,95,2.4,1,4
66,116,2.3,1,4
66,117,2.3,1,4
66,138,2.3,1,4
66,139,2.3,1,4
66,154,2.3,1,4
66,155,2.3,1,4
66,8,2.3,1,5
66,9,2.3,1,5
66,30,2.3,1,5
66,31,2.3,1,5
66,52,2.3,1,5
66,53,2.3,1,5
66,74,2.3,1,5
66,75,2.3,1,5
66,96,2.3,1,5
66,97,2.3,1,5
66,118,2.3,1,5
66,119,2.3,1,5
66,140,2.3,1,5
66,141,2.3,1,5
66,156,2.3,1,5
66,157,2.3,1,5
66,10,2.3,1,6
66,11,2.4,1,6
66,32,2.3,1,6
66,33,2.3,1,6
66,54,2.3,1,6
66,55,2.3,1,6
66,76,2.3,1,6
66,77,2.3,1,6
66,98,2.3,1,6
66,99,2.4,1,6
66,120,2.3,1,6
66,121,2.3,1,6
66,142,2.3,1,6
66,143,2.3,1,6
66,158,2.3,1,6
66,159,2.3,1,6
66,12,2.4,1,7
66,13,2.4,1,7
66,34,2.3,1,7
66,35,2.4,1,7
66,56,2.3,1,7
66,57,2.3,1,7
66,78,2.3,1,7
66,79,2.3,1,7
66,100,2.4,1,7
66,101,2.4,1,7
66,122,2.3,1,7
66,123,2.3,1,7
66,144,2.3,1,7
66,145,2.3,1,7
66,160,2.3,1,7
66,161,2.3,1,7
66,14,2.4,1,8
66,15,2.4,1,8
66,36,2.4,1,8
66,37,2.4,1,8
66,58,2.4,1,8
66,59,2.4,1,8
66,80,2.3,1,8
66,81,2.3,1,8
66,102,2.4,1,8
66,103,2.4,1,8
66,124,2.4,1,8
66,125,2.4,1,8
66,146,2.3,1,8
66,147,2.3,1,8
66,162,2.3,1,8
66,163,2.3,1,8
66,16,2.4,1,9
66,17,2.4,1,9
66,38,2.4,1,9
66,39,2.4,1,9
66,60,2.4,1,9
66,61,2.4,1,9
66,82,2.3,1,9
66,83,2.3,1,9
66,104,2.4,1,9
66,105,2.4,1,9
66,126,2.4,1,9
66,127,2.4,1,9
66,148,2.3,1,9
66,149,2.3,1,9
66,164,2.3,1,9
66,165,2.3,1,9
66,18,2.4,1,10
66,19,2.4,1,10
66,40,2.3,1,10
