PairID,Mode,Family,AType,BType,SparseVariant,Satfinite,Scale,M,N,K,AElements,BElements,CElements,SemanticK,DenseBaseK,DenseInstructionsPerPacket,SparseInstructionsPerPacket,WorkloadPackets,Iterations,Unroll,Warps,WarmupLaunches,DenseBuildStatus,DenseRunStatus,SparseBuildStatus,SparseRunStatus,DenseCycles,DenseCyclesPerPacket,DenseCyclesPerWorkload,DenseWorkloadOpsPerCycle,SparseCycles,SparseCyclesPerPacket,SparseCyclesPerWorkload,SparseWorkloadOpsPerCycle,SparseOverDenseWorkloadSpeedup,SparseOverDenseWorkloadCycleRatio,DenseNotes,SparseNotes
throughput:f16f16:f16xf16:m256n256k512:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,16,256,256,512,131072,131072,65536,32,16,2,1,8192,1,8,864,3,ok,ok,ok,ok,536902,8.192474,67112.750000,999.942000,262508,4.005554,32813.500000,2045.160000,2.045279,0.488931,,
throughput:f16f16:f16xf16:m512n512k1024:ordered:nosat,throughput,f16f16,f16,f16,ordered,nosat,32,512,512,1024,524288,524288,262144,32,16,2,1,65536,1,8,864,3,ok,ok,ok,ok,4292749,8.187769,536593.625000,1000.517000,2097433,4.000536,262179.125000,2047.726000,2.046668,0.488599,,
throughput:bf16:bf16xbf16:m16n16k32:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,1,16,16,32,512,512,256,32,16,2,1,2,256,8,864,3,ok,ok,ok,ok,67918,16.581543,33.163086,494.043000,34962,8.535645,17.071289,959.740000,1.942624,0.514768,,
throughput:bf16:bf16xbf16:m32n32k64:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,2,32,32,64,2048,2048,1024,32,16,2,1,16,32,8,864,3,ok,ok,ok,ok,66125,16.143799,258.300781,507.439000,33272,8.123047,129.968750,1008.489000,1.987409,0.503168,,
throughput:bf16:bf16xbf16:m64n64k128:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,4,64,64,128,8192,8192,4096,32,16,2,1,128,4,8,864,3,ok,ok,ok,ok,65931,16.096436,2060.343750,508.933000,33125,8.087158,1035.156250,1012.964000,1.990368,0.502419,,
throughput:bf16:bf16xbf16:m128n128k256:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,8,128,128,256,32768,32768,16384,32,16,2,1,1024,1,8,864,3,ok,ok,ok,ok,131501,16.052368,16437.625000,510.330000,65951,8.050659,8243.875000,1017.556000,1.993918,0.501525,,
throughput:bf16:bf16xbf16:m256n256k512:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,16,256,256,512,131072,131072,65536,32,16,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049911,16.020370,131238.875000,511.349000,525110,8.012543,65638.750000,1022.397000,1.999411,0.500147,,
throughput:bf16:bf16xbf16:m512n512k1024:ordered:nosat,throughput,bf16,bf16,bf16,ordered,nosat,32,512,512,1024,524288,524288,262144,32,16,2,1,65536,1,8,864,3,ok,ok,ok,ok,8397146,16.016285,1049643.250000,511.479000,4198718,8.008419,524839.750000,1022.923000,1.999932,0.500017,,
throughput:tf32:tf32xtf32:m16n16k16:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,1,16,16,16,256,256,256,16,8,2,1,2,256,8,864,3,ok,ok,ok,ok,67922,16.582520,33.165039,247.007000,34842,8.506348,17.012695,481.523000,1.949431,0.512971,,
throughput:tf32:tf32xtf32:m32n32k32:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,2,32,32,32,1024,1024,1024,16,8,2,1,16,32,8,864,3,ok,ok,ok,ok,66125,16.143799,258.300781,253.720000,33274,8.123535,129.976562,504.214000,1.987285,0.503198,,
throughput:tf32:tf32xtf32:m64n64k64:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,4,64,64,64,4096,4096,4096,16,8,2,1,128,4,8,864,3,ok,ok,ok,ok,65929,16.095947,2060.281250,254.474000,33124,8.086914,1035.125000,506.497000,1.990368,0.502419,,
throughput:tf32:tf32xtf32:m128n128k128:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,8,128,128,128,16384,16384,16384,16,8,2,1,1024,1,8,864,3,ok,ok,ok,ok,131506,16.052979,16438.250000,255.155000,65914,8.046143,8239.250000,509.064000,1.995117,0.501224,,
throughput:tf32:tf32xtf32:m256n256k256:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,16,256,256,256,65536,65536,65536,16,8,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049946,16.020905,131243.250000,255.666000,525500,8.018494,65687.500000,510.819000,1.997993,0.500502,,
throughput:tf32:tf32xtf32:m512n512k512:ordered:nosat,throughput,tf32,tf32,tf32,ordered,nosat,32,512,512,512,262144,262144,262144,16,8,2,1,65536,1,8,864,3,ok,ok,ok,ok,8405123,16.031500,1050640.375000,255.497000,4199041,8.009035,524880.125000,511.422000,2.001675,0.499581,,
throughput:fp8:e4m3xe4m3:m16n16k64:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,67920,16.582031,33.164062,988.057000,34960,8.535156,17.070312,1919.590000,1.942793,0.514723,,
throughput:fp8:e4m3xe4m3:m32n32k128:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,66125,16.143799,258.300781,1014.879000,33271,8.122803,129.964844,2017.038000,1.987466,0.503153,,
throughput:fp8:e4m3xe4m3:m64n64k256:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,65931,16.096436,2060.343750,1017.865000,32956,8.045898,1029.875000,2036.317000,2.000577,0.499856,,
throughput:fp8:e4m3xe4m3:m128n128k512:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,131504,16.052734,16438.000000,1020.636000,65912,8.045898,8239.000000,2036.317000,1.995145,0.501217,,
throughput:fp8:e4m3xe4m3:m256n256k1024:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049912,16.020386,131239.000000,1022.697000,525049,8.011612,65631.125000,2045.032000,1.999646,0.500089,,
throughput:fp8:e4m3xe4m3:m512n512k2048:ordered:nosat,throughput,fp8,e4m3,e4m3,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,9760146,18.616001,1220018.250000,880.103000,4198712,8.008408,524839.000000,2045.850000,2.324557,0.430189,,
throughput:fp8:e4m3xe5m2:m16n16k64:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,67919,16.581787,33.163574,988.072000,34997,8.544189,17.088379,1917.560000,1.940709,0.515276,,
throughput:fp8:e4m3xe5m2:m32n32k128:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,66123,16.143311,258.292969,1014.910000,33271,8.122803,129.964844,2017.038000,1.987406,0.503168,,
throughput:fp8:e4m3xe5m2:m64n64k256:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,65793,16.062744,2056.031250,1020.000000,33120,8.085938,1035.000000,2026.234000,1.986504,0.503397,,
throughput:fp8:e4m3xe5m2:m128n128k512:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,131505,16.052856,16438.125000,1020.628000,65915,8.046265,8239.375000,2036.224000,1.995070,0.501236,,
throughput:fp8:e4m3xe5m2:m256n256k1024:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049908,16.020325,131238.500000,1022.701000,525149,8.013138,65643.625000,2044.642000,1.999257,0.500186,,
throughput:fp8:e4m3xe5m2:m512n512k2048:ordered:nosat,throughput,fp8,e4m3,e5m2,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,8397069,16.016138,1049633.625000,1022.968000,4198713,8.008410,524839.125000,2045.849000,1.999915,0.500021,,
throughput:fp8:e5m2xe4m3:m16n16k64:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,67920,16.582031,33.164062,988.057000,34964,8.536133,17.072266,1919.370000,1.942570,0.514782,,
throughput:fp8:e5m2xe4m3:m32n32k128:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,66123,16.143311,258.292969,1014.910000,33271,8.122803,129.964844,2017.038000,1.987406,0.503168,,
throughput:fp8:e5m2xe4m3:m64n64k256:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,65930,16.096191,2060.312500,1017.881000,33125,8.087158,1035.156250,2025.928000,1.990339,0.502427,,
throughput:fp8:e5m2xe4m3:m128n128k512:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,131506,16.052979,16438.250000,1020.621000,65736,8.024414,8217.000000,2041.769000,2.000516,0.499871,,
throughput:fp8:e5m2xe4m3:m256n256k1024:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049904,16.020264,131238.000000,1022.705000,525114,8.012604,65639.250000,2044.779000,1.999383,0.500154,,
throughput:fp8:e5m2xe4m3:m512n512k2048:ordered:nosat,throughput,fp8,e5m2,e4m3,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,8405217,16.031679,1050652.125000,1021.977000,4198711,8.008406,524838.875000,2045.850000,2.001855,0.499536,,
throughput:fp8:e5m2xe5m2:m16n16k64:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,67958,16.591309,33.182617,987.505000,34964,8.536133,17.072266,1919.370000,1.943656,0.514494,,
throughput:fp8:e5m2xe5m2:m32n32k128:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,66158,16.151855,258.429688,1014.373000,33274,8.123535,129.976562,2016.856000,1.988278,0.502947,,
throughput:fp8:e5m2xe5m2:m64n64k256:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,65932,16.096680,2060.375000,1017.850000,33124,8.086914,1035.125000,2025.989000,1.990459,0.502396,,
throughput:fp8:e5m2xe5m2:m128n128k512:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,131505,16.052856,16438.125000,1020.628000,65915,8.046265,8239.375000,2036.224000,1.995070,0.501236,,
throughput:fp8:e5m2xe5m2:m256n256k1024:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,1049908,16.020325,131238.500000,1022.701000,525115,8.012619,65639.375000,2044.775000,1.999387,0.500153,,
throughput:fp8:e5m2xe5m2:m512n512k2048:ordered:nosat,throughput,fp8,e5m2,e5m2,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,8397033,16.016069,1049629.125000,1022.973000,4198718,8.008419,524839.750000,2045.847000,1.999903,0.500024,,
throughput:int8:u8xu8:m16n16k64:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45753,11.170166,22.340332,1466.764000,30038,7.333496,14.666992,2234.132000,1.523171,0.656525,,
throughput:int8:u8xu8:m32n32k128:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36476,8.905273,142.484375,1839.809000,19253,4.700439,75.207031,3485.632000,1.894562,0.527827,,
throughput:int8:u8xu8:m64n64k256:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35303,8.618896,1103.218750,1900.939000,17908,4.372070,559.625000,3747.424000,1.971354,0.507266,,
throughput:int8:u8xu8:m128n128k512:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,70291,8.580444,8786.375000,1909.458000,35172,4.293457,4396.500000,3816.039000,1.998493,0.500377,,
throughput:int8:u8xu8:m256n256k1024:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,557453,8.506058,69681.625000,1926.157000,278908,4.255798,34863.500000,3849.806000,1.998698,0.500326,,
throughput:int8:u8xu8:m512n512k2048:ordered:nosat,throughput,int8,u8,u8,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,4456848,8.500763,557106.000000,1927.356000,2228578,4.250675,278572.250000,3854.446000,1.999862,0.500035,,
throughput:int8:u8xu8:m16n16k64:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45734,11.165527,22.331055,1467.374000,30008,7.326172,14.652344,2236.366000,1.524060,0.656142,,
throughput:int8:u8xu8:m32n32k128:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36392,8.884766,142.156250,1844.055000,19249,4.699463,75.191406,3486.356000,1.890592,0.528935,,
throughput:int8:u8xu8:m64n64k256:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35183,8.589600,1099.468750,1907.423000,17910,4.372559,559.687500,3747.005000,1.964433,0.509053,,
throughput:int8:u8xu8:m128n128k512:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,69993,8.544067,8749.125000,1917.588000,35171,4.293335,4396.375000,3816.148000,1.990077,0.502493,,
throughput:int8:u8xu8:m256n256k1024:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,557413,8.505447,69676.625000,1926.295000,278885,4.255447,34860.625000,3850.124000,1.998720,0.500320,,
throughput:int8:u8xu8:m512n512k2048:ordered:sat,throughput,int8,u8,u8,ordered,satfinite,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,4456791,8.500654,557098.875000,1927.381000,2228580,4.250679,278572.500000,3854.443000,1.999834,0.500041,,
throughput:int8:u8xs8:m16n16k64:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45712,11.160156,22.320312,1468.080000,30006,7.325684,14.651367,2236.515000,1.523429,0.656414,,
throughput:int8:u8xs8:m32n32k128:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36471,8.904053,142.464844,1840.061000,19254,4.700684,75.210938,3485.451000,1.894204,0.527926,,
throughput:int8:u8xs8:m64n64k256:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35801,8.740479,1118.781250,1874.497000,17909,4.372314,559.656250,3747.214000,1.999050,0.500237,,
throughput:int8:u8xs8:m128n128k512:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,69991,8.543823,8748.875000,1917.643000,35175,4.293823,4396.875000,3815.714000,1.989794,0.502565,,
throughput:int8:u8xs8:m256n256k1024:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,557453,8.506058,69681.625000,1926.157000,278885,4.255447,34860.625000,3850.124000,1.998863,0.500284,,
throughput:int8:u8xs8:m512n512k2048:ordered:nosat,throughput,int8,u8,s8,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,4456629,8.500345,557078.625000,1927.451000,2228410,4.250355,278551.250000,3854.737000,1.999914,0.500021,,
throughput:int8:u8xs8:m16n16k64:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45715,11.160889,22.321777,1467.983000,30172,7.366211,14.732422,2224.210000,1.515147,0.660002,,
throughput:int8:u8xs8:m32n32k128:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36471,8.904053,142.464844,1840.061000,19254,4.700684,75.210938,3485.451000,1.894204,0.527926,,
throughput:int8:u8xs8:m64n64k256:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35299,8.617920,1103.093750,1901.155000,17998,4.394043,562.437500,3728.685000,1.961274,0.509873,,
throughput:int8:u8xs8:m128n128k512:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,69991,8.543823,8748.875000,1917.643000,35173,4.293579,4396.625000,3815.931000,1.989907,0.502536,,
throughput:int8:u8xs8:m256n256k1024:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,557418,8.505524,69677.250000,1926.278000,278920,4.255981,34865.000000,3849.641000,1.998487,0.500379,,
throughput:int8:u8xs8:m512n512k2048:ordered:sat,throughput,int8,u8,s8,ordered,satfinite,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,4456629,8.500345,557078.625000,1927.451000,2228582,4.250683,278572.750000,3854.440000,1.999760,0.500060,,
throughput:int8:s8xu8:m16n16k64:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45713,11.160400,22.320801,1468.048000,30004,7.325195,14.650391,2236.664000,1.523563,0.656356,,
throughput:int8:s8xu8:m32n32k128:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36507,8.912842,142.605469,1838.246000,19258,4.701660,75.226562,3484.727000,1.895680,0.527515,,
throughput:int8:s8xu8:m64n64k256:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35299,8.617920,1103.093750,1901.155000,17911,4.372803,559.718750,3746.796000,1.970800,0.507408,,
throughput:int8:s8xu8:m128n128k512:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,69990,8.543701,8748.750000,1917.670000,35176,4.293945,4397.000000,3815.605000,1.989709,0.502586,,
throughput:int8:s8xu8:m256n256k1024:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,557417,8.505508,69677.125000,1926.281000,278846,4.254852,34855.750000,3850.662000,1.999014,0.500247,,
throughput:int8:s8xu8:m512n512k2048:ordered:nosat,throughput,int8,s8,u8,ordered,nosat,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,4456806,8.500683,557100.750000,1927.375000,2228844,4.251183,278605.500000,3853.986000,1.999604,0.500099,,
throughput:int8:s8xu8:m16n16k64:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45719,11.161865,22.323730,1467.855000,30007,7.325928,14.651855,2236.440000,1.523611,0.656335,,
throughput:int8:s8xu8:m32n32k128:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36831,8.991943,143.871094,1822.076000,19255,4.700928,75.214844,3485.269000,1.912801,0.522793,,
throughput:int8:s8xu8:m64n64k256:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35344,8.628906,1104.500000,1898.734000,17909,4.372314,559.656250,3747.214000,1.973533,0.506706,,
throughput:int8:s8xu8:m128n128k512:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,8,128,128,512,65536,65536,16384,64,32,2,1,1024,1,8,864,3,ok,ok,ok,ok,69992,8.543945,8749.000000,1917.615000,35173,4.293579,4396.625000,3815.931000,1.989936,0.502529,,
throughput:int8:s8xu8:m256n256k1024:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,16,256,256,1024,262144,262144,65536,64,32,2,1,8192,1,8,864,3,ok,ok,ok,ok,557415,8.505478,69676.875000,1926.288000,278890,4.255524,34861.250000,3850.055000,1.998691,0.500327,,
throughput:int8:s8xu8:m512n512k2048:ordered:sat,throughput,int8,s8,u8,ordered,satfinite,32,512,512,2048,1048576,1048576,262144,64,32,2,1,65536,1,8,864,3,ok,ok,ok,ok,4456973,8.501001,557121.625000,1927.302000,2228458,4.250446,278557.250000,3854.654000,2.000026,0.499994,,
throughput:int8:s8xs8:m16n16k64:ordered:nosat,throughput,int8,s8,s8,ordered,nosat,1,16,16,64,1024,1024,256,64,32,2,1,2,256,8,864,3,ok,ok,ok,ok,45715,11.160889,22.321777,1467.983000,30684,7.491211,14.982422,2187.096000,1.489865,0.671202,,
throughput:int8:s8xs8:m32n32k128:ordered:nosat,throughput,int8,s8,s8,ordered,nosat,2,32,32,128,4096,4096,1024,64,32,2,1,16,32,8,864,3,ok,ok,ok,ok,36477,8.905518,142.488281,1839.758000,19256,4.701172,75.218750,3485.088000,1.894319,0.527894,,
throughput:int8:s8xs8:m64n64k256:ordered:nosat,throughput,int8,s8,s8,ordered,nosat,4,64,64,256,16384,16384,4096,64,32,2,1,128,4,8,864,3,ok,ok,ok,ok,35302,8.618652,1103.187500,1900.993000,17979,4.389404,561.843750,3732.625000,1.963513,0.509291,,
